station,station_type,model,condition,horizon,n_eval,skill_h,phi_h,r_h,beta_h,kge_h,rmse,rmse_persistence
Pearse street dublin,unknown,xgboost_direct,lag_only,13,212,0.27705452664318153,0.4998544754285344,0.3142456941069039,0.9606406622560517,0.15032143061777126,9.958394650590684,13.77475206304473
Pearse street dublin,unknown,xgboost_direct,lag_only,14,212,0.2739244238030023,0.4656264941012313,0.3711962119431896,0.9177274096660337,0.17071233772508332,9.874400418371742,13.599686784799156
Pearse street dublin,unknown,xgboost_direct,lag_only,15,212,0.2792281778238328,0.4545650471951408,0.3646510657861036,0.9261666053153901,0.15939371515636025,9.388708113981256,13.02590892861863
Pearse street dublin,unknown,xgboost_direct,lag_only,16,212,0.2679171821427556,0.4456212866425611,0.36549134929604743,0.9120624601230951,0.1528459428406176,9.562912730794125,13.06261053740355
Pearse street dublin,unknown,xgboost_direct,lag_only,17,212,0.3041016017053483,0.46352222734942367,0.39439858587480847,0.9278607479768551,0.18774046941817046,8.779888437289184,12.616624005465342
Pearse street dublin,unknown,xgboost_direct,lag_only,18,212,0.27040156454665554,0.43875701295513986,0.3468181218929051,0.9163435447977287,0.13476092385309002,9.280756230590162,12.720362023286764
Pearse street dublin,unknown,xgboost_direct,lag_only,19,212,0.24921415789268642,0.4285186646398918,0.2995768857382797,0.9269265162044907,0.09306935783871984,9.737956770045479,12.970352161560319
Pearse street dublin,unknown,xgboost_direct,lag_only,20,212,0.26610446215893846,0.45546853591491226,0.3180673244740389,0.9417351126824888,0.1253906663985529,9.09871727453239,12.397837029093482
Pearse street dublin,unknown,xgboost_direct,lag_only,21,212,0.25573009356976284,0.4414521630856644,0.2550613787136714,0.9574572162569218,0.06794896917911752,9.368077328058876,12.586935528525196
Pearse street dublin,unknown,xgboost_direct,lag_only,22,212,0.23546501872748749,0.4065739038430003,0.19851096234189633,0.9600223115908274,0.0019331562180864292,10.075683215258005,13.17883872166028
