station,station_key,horizon,p,rho1,rho_h,ar1_reference_skill,ar1_status,yw_linear_reference_skill,yw_mse,yw_rmse,gamma0,persistence_mse,persistence_rmse,valid_pair_count_rho_h,min_valid_pair_count_required_lags,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_number,covariance_psd_status,regularization_applied,numerical_status,rho1_control_value,rho1_diff_from_control,notes,hgb_direct_skill,ridge_direct_skill,sarima_skill,seasonal_naive_skill,stl_ridge_direct_skill,best_model_skill,best_model_name,skill_definition
Valencia Vivers,valencia_vivers,4,14,0.6057131679804734,0.2457575069365636,0.25748308155517585,DIAGNOSTIC_ONLY,0.28690217520040007,87.29804068638424,9.343342051235426,96.39625438951792,171.67469050894084,13.102468870748782,2518,2458,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK,0.614,0.008286832019526624,,0.2098397119173544,0.224281046700267,0.0819500730133631,-0.0274306035024072,-1.0642590297717889,0.224281046700267,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Valencia Vivers,valencia_vivers,5,14,0.6057131679804734,0.1986307818691739,0.27916204543206724,DIAGNOSTIC_ONLY,0.30508313904114415,88.99259612398154,9.433588719251096,96.39625438951792,184.28423236514521,13.57513286731092,2497,2455,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK,0.614,0.008286832019526624,,0.2272714588000408,0.2415127594814469,0.0983651097829665,0.0067135953802639,-0.9795753624667698,0.2415127594814469,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Valencia Vivers,valencia_vivers,6,14,0.6057131679804734,0.1953027469978529,0.2739015766080629,DIAGNOSTIC_ONLY,0.29960159203782877,89.4744325205284,9.459092584414659,96.39625438951792,182.39320388349515,13.505302806064556,2499,2454,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK,0.614,0.008286832019526624,,0.2271196289010981,0.243808200468329,0.0745176164127247,0.0036071155015449,-0.9851565128204168,0.243808200468329,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Valencia Vivers,valencia_vivers,7,14,0.6057131679804734,0.18748765208823281,0.27939376587869524,DIAGNOSTIC_ONLY,0.30329156327883977,90.02797398171748,9.488307224248036,96.39625438951792,185.47071129707112,13.618763207320667,2489,2452,22.332571677668724,455.5278378469593,20.397464493641845,PSD,0.0,OK,0.614,0.008286832019526624,,0.2324995866841183,0.2528761794349226,0.0879552510145857,0.0,-0.9766908202120924,0.2528761794349226,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Zarra EMEP,zarra_emep,1,14,0.6281012011179696,0.6281012011179696,0.08390758905564721,DIAGNOSTIC_ONLY,0.1072555079062697,56.7564507065853,7.533687722927285,98.70366258920923,71.21326042378674,8.438794962776779,2738,2708,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK,0.643,0.014898798882030384,,0.0576745356631105,0.0852153086153748,0.1461155756160355,-0.7016714016935104,-1.243273564187279,0.1461155756160355,sarima,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Zarra EMEP,zarra_emep,2,14,0.6281012011179696,0.31738337909050035,0.21119948491173157,DIAGNOSTIC_ONLY,0.20598894285477942,84.44620781049207,9.18946178024002,98.70366258920923,133.9451679232351,11.573468275466741,2734,2707,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK,0.643,0.014898798882030384,,0.1944010198200222,0.1800284101493156,0.0782767753261056,-0.2256678692312941,-0.6772051326064006,0.1944010198200222,hgb_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Zarra EMEP,zarra_emep,3,14,0.6281012011179696,0.21299059228326545,0.2518065332796309,DIAGNOSTIC_ONLY,0.2664234533104073,89.05868081534034,9.43709069657277,98.70366258920923,165.49519230769232,12.864493472643698,2732,2704,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK,0.643,0.014898798882030384,,0.2313148450813498,0.2189869172535209,0.0876360349409425,-0.099388999661014,-0.5039775306055656,0.2313148450813498,hgb_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Zarra EMEP,zarra_emep,4,14,0.6281012011179696,0.18377250561947026,0.26415126773687736,DIAGNOSTIC_ONLY,0.2882849554828174,90.09876144338281,9.492036738413038,98.70366258920923,177.87156593406593,13.336849925453384,2731,2704,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK,0.643,0.014898798882030384,,0.2350524348857933,0.2246462771083498,0.2495542186014008,-0.0723208467300837,-0.4473887200197133,0.2495542186014008,sarima,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Zarra EMEP,zarra_emep,5,14,0.6281012011179696,0.17151040751288027,0.28582640419566374,DIAGNOSTIC_ONLY,0.312934565823079,90.4797976638856,9.512086924743992,98.70366258920923,191.67056396148556,13.844513857896404,2728,2702,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK,0.643,0.014898798882030384,,0.2158380294562084,0.2077774999457512,0.3270361752893018,-0.0301146774267071,-0.3732407032105855,0.3270361752893018,sarima,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Zarra EMEP,zarra_emep,6,14,0.6281012011179696,0.15962164187279462,0.2937735751728525,DIAGNOSTIC_ONLY,0.3217198217128876,90.70331395835721,9.52382874469912,98.70366258920923,197.1536871123363,14.041142656932744,2725,2699,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK,0.643,0.014898798882030384,,0.2122987011351359,0.208160151566629,0.3003059777732562,-0.0069080095242777,-0.3430493175813982,0.3003059777732562,sarima,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
Zarra EMEP,zarra_emep,7,14,0.6281012011179696,0.13632836197516524,0.3131939677259613,DIAGNOSTIC_ONLY,0.3395586384460555,91.13541246314243,9.546486917350405,98.70366258920923,208.9385783298827,14.454707825822101,2724,2699,15.14396738797871,426.53633913416184,28.16542905875158,PSD,0.0,OK,0.643,0.014898798882030384,,0.2047846046271658,0.2064613695421264,0.1495592589263198,0.0,-0.3157186396243172,0.2064613695421264,ridge_direct,Skill_RMSE = 1 - RMSE_model / RMSE_persistence
