station,horizon,lag,valid_pairs
Zarra EMEP,3,12,2712
Zarra EMEP,3,13,2712
Zarra EMEP,3,14,2708
Zarra EMEP,3,15,2707
Zarra EMEP,3,16,2704
Zarra EMEP,4,0,2804
Zarra EMEP,4,1,2738
Zarra EMEP,4,2,2734
Zarra EMEP,4,3,2732
Zarra EMEP,4,4,2731
Zarra EMEP,4,5,2728
Zarra EMEP,4,6,2725
Zarra EMEP,4,7,2724
Zarra EMEP,4,8,2720
Zarra EMEP,4,9,2718
Zarra EMEP,4,10,2718
Zarra EMEP,4,11,2716
Zarra EMEP,4,12,2712
Zarra EMEP,4,13,2712
Zarra EMEP,4,14,2708
Zarra EMEP,4,15,2707
Zarra EMEP,4,16,2704
Zarra EMEP,4,17,2704
Zarra EMEP,5,0,2804
Zarra EMEP,5,1,2738
Zarra EMEP,5,2,2734
Zarra EMEP,5,3,2732
Zarra EMEP,5,4,2731
Zarra EMEP,5,5,2728
Zarra EMEP,5,6,2725
Zarra EMEP,5,7,2724
Zarra EMEP,5,8,2720
Zarra EMEP,5,9,2718
Zarra EMEP,5,10,2718
Zarra EMEP,5,11,2716
Zarra EMEP,5,12,2712
Zarra EMEP,5,13,2712
Zarra EMEP,5,14,2708
Zarra EMEP,5,15,2707
Zarra EMEP,5,16,2704
Zarra EMEP,5,17,2704
Zarra EMEP,5,18,2702
Zarra EMEP,6,0,2804
Zarra EMEP,6,1,2738
Zarra EMEP,6,2,2734
Zarra EMEP,6,3,2732
Zarra EMEP,6,4,2731
Zarra EMEP,6,5,2728
Zarra EMEP,6,6,2725
Zarra EMEP,6,7,2724
Zarra EMEP,6,8,2720
Zarra EMEP,6,9,2718
Zarra EMEP,6,10,2718
Zarra EMEP,6,11,2716
Zarra EMEP,6,12,2712
Zarra EMEP,6,13,2712
Zarra EMEP,6,14,2708
Zarra EMEP,6,15,2707
Zarra EMEP,6,16,2704
Zarra EMEP,6,17,2704
Zarra EMEP,6,18,2702
Zarra EMEP,6,19,2699
Zarra EMEP,7,0,2804
Zarra EMEP,7,1,2738
Zarra EMEP,7,2,2734
Zarra EMEP,7,3,2732
Zarra EMEP,7,4,2731
Zarra EMEP,7,5,2728
Zarra EMEP,7,6,2725
Zarra EMEP,7,7,2724
Zarra EMEP,7,8,2720
Zarra EMEP,7,9,2718
Zarra EMEP,7,10,2718
Zarra EMEP,7,11,2716
Zarra EMEP,7,12,2712
Zarra EMEP,7,13,2712
Zarra EMEP,7,14,2708
Zarra EMEP,7,15,2707
Zarra EMEP,7,16,2704
Zarra EMEP,7,17,2704
Zarra EMEP,7,18,2702
Zarra EMEP,7,19,2699
Zarra EMEP,7,20,2699
