dataset,station,model,horizon,n_pairs,dm_stat,dm_pval_raw,dm_pval_bh,dm_significant
e1_rr_08019043_10_M,08019043_10_M,ridge_direct,6,1123,6.0882640712404745,1.5650187812354943e-09,5.939949569248408e-09,True
e1_rr_08019043_10_M,08019043_10_M,ridge_direct,7,1118,6.08772068214523,1.5723395918598724e-09,5.939949569248408e-09,True
e1_rr_08019043_10_M,08019043_10_M,sarima,1,85,1.3980684076556364,0.1657732831868976,0.1761341133860787,False
e1_rr_08019043_10_M,08019043_10_M,sarima,2,83,1.7285487415333949,0.0876536199970667,0.1027663131000093,False
e1_rr_08019043_10_M,08019043_10_M,sarima,3,81,1.9270318259892656,0.0575259593743391,0.0724400969899085,False
e1_rr_08019043_10_M,08019043_10_M,sarima,4,81,1.7884851467102998,0.0774835761896928,0.0940871996589127,False
e1_rr_08019043_10_M,08019043_10_M,sarima,5,83,2.278849048300781,0.0252758697237596,0.0358074821086594,True
e1_rr_08019043_10_M,08019043_10_M,sarima,6,83,3.610524739130103,0.0005248426486916,0.0008111204570689,True
e1_rr_08019043_10_M,08019043_10_M,sarima,7,83,2.1872546098580736,0.0315718635764024,0.0429377344639072,True
e1_rr_08019043_10_M,08019043_10_M,seasonal_naive,1,1155,-5.768736329570024,1.0249534776463063e-08,3.484841823997442e-08,True
e1_rr_08019043_10_M,08019043_10_M,seasonal_naive,2,1148,-2.107959182440997,0.0352510176752571,0.0460974846522593,True
e1_rr_08019043_10_M,08019043_10_M,seasonal_naive,3,1139,-1.1796767882604342,0.2383753382759437,0.2455988333752147,False
e1_rr_08019043_10_M,08019043_10_M,seasonal_naive,4,1134,0.7825234452318434,0.4340705271248555,0.4340705271248555,False
e1_rr_08019043_10_M,08019043_10_M,seasonal_naive,5,1127,1.614450052047156,0.1067100090131489,0.1209380102149021,False
e1_rr_08019043_10_M,08019043_10_M,seasonal_naive,6,1123,1.4732006787622631,0.1409774050582228,0.1546203797412767,False
e1_rr_08019043_10_M,08019043_10_M,seasonal_naive,7,1118,,,,False
e1_rr_08019043_10_M,08019043_10_M,stl_ridge_direct,1,1155,-30.729595826545193,0.0,0.0,True
e1_rr_08019043_10_M,08019043_10_M,stl_ridge_direct,2,1148,-23.05273150233497,0.0,0.0,True
e1_rr_08019043_10_M,08019043_10_M,stl_ridge_direct,3,1139,-19.83310653639929,0.0,0.0,True
e1_rr_08019043_10_M,08019043_10_M,stl_ridge_direct,4,1134,-18.63180583137296,0.0,0.0,True
e1_rr_08019043_10_M,08019043_10_M,stl_ridge_direct,5,1127,-18.488398165913743,0.0,0.0,True
e1_rr_08019043_10_M,08019043_10_M,stl_ridge_direct,6,1123,-19.57992010900657,0.0,0.0,True
e1_rr_08019043_10_M,08019043_10_M,stl_ridge_direct,7,1118,-22.1138390352118,0.0,0.0,True
e1_rr_08019045_10_M,08019045_10_M,hgb_direct,1,1486,1.6918677472680237,0.0908809899223976,0.12874806905673,False
