dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag,station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code
e1_rr_08019043_10_M,hgb_direct,3,1139,0.1727921424890255,0.1297415488956819,0.140052726156596,0.1123696670808646,0.1736822618208888,0.024200010614027,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,hgb_direct,4,1134,0.2097880649835267,0.1613845316277194,0.1234736239907905,0.1007750249943412,0.1513154397518133,0.0259032926535315,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,hgb_direct,5,1127,0.2215068839392947,0.1772753354417343,0.1145614192038644,0.09203074186002,0.1424365845586801,0.0253761429875112,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,hgb_direct,6,1123,0.211973683970957,0.1734548969602218,0.1217399134952659,0.0988164987782127,0.1519428744572094,0.0258056579498971,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,hgb_direct,7,1118,0.1996196637650724,0.1587227558067296,0.1326391874911526,0.1099257015176674,0.1639971289195355,0.0264773900090562,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,ridge_direct,1,1155,0.1010158366992278,0.0677207114007497,0.452494510795521,0.3593824705292734,0.5770283605186582,0.0457091116098173,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,ridge_direct,2,1148,0.1715787853161801,0.1172012638973778,0.1534845238091154,0.1200156646891977,0.1939543942895592,0.0263346881600003,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,ridge_direct,3,1139,0.192936628558989,0.1438909583700193,0.0870445557726668,0.0702438767502485,0.1100413452847401,0.0167940831251932,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,ridge_direct,4,1134,0.2288559054895049,0.1774110795193062,0.0604679047283705,0.0493753537110956,0.0742874630540247,0.0138384370896643,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,ridge_direct,5,1127,0.2439065175608544,0.2003758372935035,0.0529418189048877,0.0428108566502099,0.0660122839319686,0.0129128546824285,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
