station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Dundalk Co Louth,reference,sarima,12,153,7.983076698469922,12.243710581832362,10.061342567843136,15.90734720605791,0.20655949793574457,0.23031097371347653
Dundalk Co Louth,reference,sarima,13,153,7.684649879772923,10.715852862805558,9.658513034901961,14.88785947304236,0.20436511790130585,0.2802287741761069
Dundalk Co Louth,reference,sarima,14,152,7.056105819640263,9.55537860842505,9.369361487236842,14.616610288551254,0.24689576453504858,0.3462657606798556
Dundalk Co Louth,reference,sarima,15,152,7.9649886001227035,11.560343672752193,9.805145889407894,15.509464860511445,0.1876726068169,0.25462652794772345
Dundalk Co Louth,reference,sarima,16,151,8.191038232291968,11.246062897848233,9.744590186622515,14.920403945680778,0.15942712054358954,0.24626283988083375
Dundalk Co Louth,reference,sarima,17,151,8.64262167259839,11.90039684987643,9.535548446291392,14.344932665120968,0.0936418894751967,0.170411104207433
Dundalk Co Louth,reference,sarima,18,151,10.042366398833785,14.031685638883488,10.027346343377484,14.688321189521204,-0.0014979093113922648,0.04470460185103842
Dundalk Co Louth,reference,sarima,19,150,13.030487960345454,21.05979375497745,12.6091435904,20.281120078765717,-0.03341578013801394,-0.0383940173514874
Dundalk Co Louth,reference,sarima,20,151,13.052181921929911,19.007704346438654,12.270070758410597,18.194551493239725,-0.06374137353553655,-0.04469210760710762
Dundalk Co Louth,reference,sarima,21,151,12.865669403521128,18.77649474441042,11.591488831059602,18.10098430982888,-0.10992380625406262,-0.03731898901291997
Dundalk Co Louth,reference,sarima,22,151,11.897738447189038,17.247406058286245,11.033119254900663,16.85688150933612,-0.07836579776877972,-0.023167069705854804
Dundalk Co Louth,reference,sarima,23,151,10.287801807524971,15.788745163850948,10.43790615311258,16.228682079264455,0.014380695072914396,0.02710860396825565
Dundalk Co Louth,reference,sarima,24,152,9.041003024679986,13.35873815163513,9.887605670986842,15.086298462041905,0.08562261425847906,0.11451187411898467
Dundalk Co Louth,lags_meteo,xgboost_direct,1,151,4.691037523934343,6.7983804649344375,5.584263686490065,9.387431054741485,0.15995415200694985,0.2757996915992632
Dundalk Co Louth,lags_meteo,xgboost_direct,2,150,5.0814383094858675,7.380515453918657,6.6240178834000005,11.206530836969776,0.23287672241644852,0.3414094369355848
Dundalk Co Louth,lags_meteo,xgboost_direct,3,151,5.0035884749159845,6.86015658644352,7.082185827880795,12.117008571615907,0.2934965847382728,0.43384074164035524
Dundalk Co Louth,lags_meteo,xgboost_direct,4,151,5.337025616903811,7.183080059835513,7.543250468145695,12.895993328722856,0.29247667972295566,0.44299908686856593
Dundalk Co Louth,lags_meteo,xgboost_direct,5,151,6.29941668027701,9.005182047219762,8.378960518543048,13.514551401978432,0.24818637510749764,0.3336677053223188
Dundalk Co Louth,lags_meteo,xgboost_direct,6,152,5.892121312799628,7.5088789376353215,9.039837473289474,14.22488186118687,0.34820495056361167,0.47213066435907747
Dundalk Co Louth,lags_meteo,xgboost_direct,7,152,6.008072567587749,7.9181156939100115,9.33416740006579,14.704918774174741,0.3563354598134374,0.461532850639334
