station,horizon,rmse_lags_only,mae_lags_only,skill_rmse_vs_persistence_lags_only,skill_mae_vs_persistence_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_vs_persistence_lags_meteo,skill_mae_vs_persistence_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
Birr co offlay,22,11.832651926760471,8.11670922065994,0.2793427091778356,0.1881202465684941,9.476672305306495,6.766018043511802,0.4228315823178813,0.323224115643156,-2.355979621453976,-1.3506911771481382,0.14348887314004571,0.1351038690746619
Birr co offlay,23,12.03321018586348,7.483402506404218,0.2582061982459233,0.2282169717494314,9.114365825603036,6.044484319851484,0.4381399500281101,0.3766163976084713,-2.9188443602604437,-1.4389181865527343,0.17993375178218685,0.14839942585903992
Birr co offlay,24,10.166371533241822,6.950229881810049,0.3533117048847128,0.3184858065346547,10.061830225731018,6.741638009194336,0.359961633003337,0.3389395647910798,-0.1045413075108037,-0.20859187261571321,0.006649928118624193,0.020453758256425092
Dublin Airport,1,6.597053117846819,4.044454820169803,-0.10653787977029,-0.0658631309948769,6.378712378106562,3.737105571776728,-0.0699151188338864,0.0151347406014266,-0.21834073974025703,-0.3073492483930753,0.0366227609364036,0.08099787159630349
Dublin Airport,2,7.151555679804527,4.2922288358111755,-0.0249750971492941,0.0738594029378886,6.330388252073844,3.840328665252321,0.0927162418681626,0.1713665745690936,-0.8211674277306837,-0.45190017055885434,0.11769133901745671,0.097507171631205
Dublin Airport,3,6.632655664771155,4.903132458146254,0.2466142659705257,0.1381822901807273,6.22710474023584,4.505211459423705,0.2926797179417779,0.2081243867354101,-0.4055509245353148,-0.39792099872254827,0.0460654519712522,0.06994209655468278
Dublin Airport,4,7.180178941917111,5.238533475206555,0.2646447901488598,0.1623053393843261,7.591778104007184,5.113395245179194,0.222491023416622,0.1823162122037812,0.41159916209007275,-0.12513823002736135,-0.04215376673223778,0.0200108728194551
Dublin Airport,5,8.096648441360324,5.652980707442802,0.2069590725643361,0.1635929519171247,8.015018776607038,5.619610124204528,0.2149544382407705,0.1685304163210593,-0.08162966475328659,-0.033370583238273355,0.007995365676434413,0.0049374644039346105
Dublin Airport,6,7.340145161454495,5.720488751574261,0.3829688162006034,0.1961669522751394,7.763238480181099,5.6555023257644255,0.3474025207705876,0.2052987308675,0.42309331872660394,-0.0649864258098356,-0.035566295430015826,0.009131778592360612
Dublin Airport,7,8.908652343426576,6.873190145234013,0.268438477837169,0.1068554860480038,9.151272638808532,6.665107599462331,0.248514962387811,0.1338950092210988,0.24262029538195584,-0.20808254577168217,-0.019923515449357998,0.027039523173094993
