station_id,province,municipality,station_code,first_date,last_date,usable_days,usable_years,coverage_total,support_days,source_years_present,usable_days_2020,usable_days_2021,usable_days_2022,usable_days_2023
08096014_10_47,8,96,14,2020-01-01,2023-12-31,1421,4,0.972621492129,1461,4,358,354,352,357
08101001_10_47,8,101,1,2020-01-01,2023-12-31,1433,4,0.980835044490,1461,4,358,360,357,358
08184006_10_47,8,184,6,2020-01-01,2023-12-31,1420,4,0.971937029432,1461,4,363,355,350,352
08194008_10_47,8,194,8,2020-01-01,2023-12-31,1435,4,0.982203969884,1461,4,366,357,359,353
08202001_10_47,8,202,1,2020-01-01,2023-12-31,1449,4,0.991786447639,1461,4,359,362,363,365
08260010_10_47,8,260,10,2020-01-01,2023-12-31,1432,4,0.980150581793,1461,4,363,358,357,354
08263001_10_47,8,263,1,2020-01-02,2023-12-31,1423,4,0.974657534247,1460,4,359,351,353,360
09018002_10_49,9,18,2,2020-01-01,2023-12-31,1443,4,0.987679671458,1461,4,366,361,357,359
09059003_10_49,9,59,3,2020-01-01,2023-12-31,1445,4,0.989048596851,1461,4,364,365,360,356
09059006_10_49,9,59,6,2020-01-01,2023-12-31,1408,4,0.963723477070,1461,4,354,347,346,361
09219002_10_49,9,219,2,2020-01-01,2023-12-31,1441,4,0.986310746064,1461,4,362,354,365,360
11004007_10_49,11,4,7,2020-01-01,2023-12-31,1264,3,0.865160848734,1461,4,247,325,336,356
11008001_10_49,11,8,1,2020-01-01,2023-12-31,1306,4,0.893908281999,1461,4,340,327,329,310
11008009_10_49,11,8,9,2020-01-01,2023-12-31,1392,4,0.952772073922,1461,4,345,358,357,332
11012002_10_49,11,12,2,2020-01-01,2023-12-31,1341,3,0.917864476386,1461,4,270,356,364,351
11020003_10_49,11,20,3,2020-01-01,2023-12-31,1283,3,0.878165639973,1461,4,348,333,273,329
11020004_10_49,11,20,4,2020-01-01,2023-12-31,1216,3,0.832306639288,1461,4,311,274,324,307
11022005_10_49,11,22,5,2020-01-01,2023-12-26,1348,4,0.925824175824,1456,4,342,347,341,318
