dataset,model,horizon,n_recomputed,n_canonical,n_match,alpha_recomputed,alpha_canonical,alpha_abs_diff,alpha_within_tol,skill_recomputed,skill_canonical,skill_abs_diff,skill_within_tol,collapse_flag_recomputed,collapse_flag_canonical,collapse_match,near_ideal_flag_recomputed,near_ideal_flag_canonical,near_ideal_match
e1_rr_08019028_10_M,stl_ridge_direct,6,1400,1400,True,1.363761182404448,1.363761182404448,0.0,True,-1.4098851703391788,-1.4098851703391788,0.0,True,False,False,True,False,False,True
e1_rr_08019028_10_M,stl_ridge_direct,7,1396,1396,True,1.3207550676421287,1.320755067642129,2.220446049250313e-16,True,-1.459793902057633,-1.4597939020576325,4.440892098500626e-16,True,False,False,True,False,False,True
e1_rr_08019043_10_M,hgb_direct,1,1155,1155,True,0.427546585153835,0.427546585153835,0.0,True,0.10217355673031148,0.1021735567303114,8.326672684688674e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,hgb_direct,2,1148,1148,True,0.18708716432382208,0.187087164323822,8.326672684688674e-17,True,0.16323887189325603,0.163238871893256,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,hgb_direct,3,1139,1139,True,0.14005272615659606,0.140052726156596,5.551115123125783e-17,True,0.17279214248902552,0.1727921424890255,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,hgb_direct,4,1134,1134,True,0.12347362399079052,0.1234736239907905,2.7755575615628914e-17,True,0.20978806498352676,0.2097880649835267,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,hgb_direct,5,1127,1127,True,0.11456141920386441,0.1145614192038644,1.3877787807814457e-17,True,0.22150688393929474,0.2215068839392947,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,hgb_direct,6,1123,1123,True,0.12173991349526594,0.1217399134952659,4.163336342344337e-17,True,0.21197368397095706,0.211973683970957,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,hgb_direct,7,1118,1118,True,0.1326391874911526,0.1326391874911526,0.0,True,0.19961966376507245,0.1996196637650724,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,ridge_direct,1,1155,1155,True,0.452494510795521,0.452494510795521,0.0,True,0.10101583669922787,0.1010158366992278,6.938893903907228e-17,True,True,True,True,False,False,True
