dataset,station,model,horizon,threshold_type,threshold_value,recall,precision,f1,flag_rate,base_rate,station_id,station_name,station_type,province
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,2,abs_50,50.0,0.0,,,0.0,0.0096510764662212,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,2,p75,28.831607275426876,0.1645021645021645,0.4086021505376344,0.2345679012345679,0.0690423162583518,0.1714922048997773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,2,p90,35.17281365998515,0.0,0.0,,0.0037119524870081,0.0638455827765404,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,3,abs_50,50.0,0.0,,,0.0,0.0111358574610244,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,3,p75,28.827004454342983,0.1293103448275862,0.4545454545454545,0.2013422818791946,0.0489977728285077,0.1722345953971789,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,3,p90,35.167297698589465,0.0,0.0,,0.0007423904974016,0.0660727542687453,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,4,abs_50,50.0,0.0,,,0.0,0.0111524163568773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,4,p75,28.82587360594796,0.1139240506329113,0.54,0.1881533101045296,0.037174721189591,0.1762081784386617,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,4,p90,35.16591821561339,0.0,,,0.0,0.0676579925650557,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,5,abs_50,50.0,0.0,,,0.0,0.0104555638536221,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,5,p75,28.82520537714712,0.0920502092050209,0.5,0.1554770318021201,0.0328603435399551,0.1784914115011202,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,5,p90,35.16529499626587,0.0,,,0.0,0.0679611650485436,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,6,abs_50,50.0,0.0,,,0.0,0.0097451274362818,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,6,p75,28.826686656671665,0.0916666666666666,0.5641025641025641,0.1577060931899641,0.0292353823088455,0.1799100449775112,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,6,p90,35.167383808095956,0.0,,,0.0,0.0689655172413793,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,7,abs_50,50.0,0.0,,,0.0,0.0097670924117205,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,7,p75,28.825131480090157,0.0833333333333333,0.4761904761904761,0.1418439716312056,0.0315552216378662,0.1803155522163786,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,ridge_direct,7,p90,35.165266716754324,0.0,,,0.0,0.0706235912847483,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,1,abs_50,50.0,0.0,,,0.0,0.0059523809523809,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,1,p75,29.39311377245509,0.2692307692307692,0.3333333333333333,0.2978723404255319,0.1257485029940119,0.155688622754491,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,1,p90,35.57167664670659,0.4,0.4444444444444444,0.4210526315789474,0.0538922155688622,0.059880239520958,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,2,abs_50,50.0,0.0,,,0.0,0.0184049079754601,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,2,p75,29.43564814814815,0.15625,0.5,0.238095238095238,0.0617283950617283,0.1975308641975308,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,2,p90,35.631790123456796,0.0625,1.0,0.1176470588235294,0.0061728395061728,0.0987654320987654,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,3,abs_50,50.0,0.0,,,0.0,0.0304878048780487,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,3,p75,29.43726993865031,0.05,1.0,0.0952380952380952,0.0122699386503067,0.2453987730061349,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,3,p90,35.62079754601227,0.0,,,0.0,0.1104294478527607,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,4,abs_50,50.0,0.0,,,0.0,0.0235294117647058,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,4,p75,29.412426035502957,0.0,0.0,,0.0059171597633136,0.2071005917159763,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
