dataset,model,horizon,mse,bias_sq,cond_bias_sq,irreducible_sq,rho,std_pred_ug,std_true_ug,alpha
e1_rr_08019043_10_M,seasonal_naive,1,130.61258874458875,0.28926702273195465,52.9150498417123,77.40827188014448,0.0927254919945912,8.093620286059108,8.83626627098029,0.8389731502564658
e1_rr_08019043_10_M,seasonal_naive,2,130.20805749128917,0.21273950909929729,52.55506064349213,77.44025733869776,0.09921238685108118,8.12688621984969,8.843646694955885,0.8444726540735621
e1_rr_08019043_10_M,seasonal_naive,3,130.8339069359087,0.1807182956261422,52.84285630015968,77.81033234012287,0.10125522903323539,8.167097450085636,8.866586495113411,0.8484427934472594
e1_rr_08019043_10_M,seasonal_naive,4,129.24298059964727,0.19753086419752947,50.02262736445884,79.0228223709909,0.11665587218893211,8.116806424541238,8.950589265470782,0.8223697389430259
e1_rr_08019043_10_M,seasonal_naive,5,129.62244897959184,0.1635689288253392,50.29910497108048,79.15977507968601,0.12088481292446754,8.17566553170495,8.962907037391439,0.8320481286869505
e1_rr_08019043_10_M,seasonal_naive,6,129.6452537845058,0.09624912280979935,51.481586198415044,78.06741846328094,0.12326550871498433,8.272558629433036,8.903477207199744,0.8632973445864803
e1_rr_08019043_10_M,seasonal_naive,7,129.53321109123436,0.02933958384669755,52.407626120654655,77.096245386733,0.12475212473127303,8.343315098876214,8.849580220341563,0.8888571097663709
e1_rr_08019043_10_M,stl_ridge_direct,1,703.3724298629814,566.5252825713168,65.48526606316379,71.36188122850105,0.2933203314545561,10.684153262690485,8.83626627098029,1.4619840340426025
e1_rr_08019043_10_M,stl_ridge_direct,2,737.3145858183108,591.8183777225238,69.85545277310483,75.64075532268205,0.1812502816722207,9.96087090668946,8.843646694955885,1.268620879947843
e1_rr_08019043_10_M,stl_ridge_direct,3,751.6858144396617,601.9550257098432,72.88030623102503,76.85048249879348,0.1498729821770135,9.865858083462319,8.866586495113411,1.2381031197853476
e1_rr_08019043_10_M,stl_ridge_direct,4,757.9577522451966,609.3170804834735,70.12809432651905,78.51257743520371,0.14134232938774247,9.63934900285012,8.950589265470782,1.1598241645699974
e1_rr_08019043_10_M,stl_ridge_direct,5,763.095934793724,615.9606920253345,68.32706155960877,78.80818120878075,0.13780350165893648,9.501138457693909,8.962907037391439,1.123708096534114
e1_rr_08019043_10_M,stl_ridge_direct,6,769.4254542214351,626.6218609130883,65.07615874173798,77.72743456660847,0.13958229736728264,9.309747333404632,8.903477207199744,1.0933431447620363
e1_rr_08019043_10_M,stl_ridge_direct,7,778.7770195853476,636.68022802064,65.2733052136728,76.82348635103504,0.13800701027664147,9.300493746840049,8.849580220341563,1.1045024137855053
e1_rr_08019045_10_M,hgb_direct,1,50.53389751546438,6.196657172556531e-05,0.22620066478396672,50.30763488410869,0.6070884642848787,5.894387196900317,8.92585173130824,0.4360918645718679
e1_rr_08019045_10_M,hgb_direct,2,69.48497610233947,9.826048696118328e-05,0.7661204263065063,68.718757415546,0.3780494337342607,4.26041739581319,8.954210848597704,0.22638605171110454
e1_rr_08019045_10_M,hgb_direct,3,78.52651499061228,0.01702684634524905,2.053008577058332,76.45647956720872,0.2201355450104477,3.4060896656848176,8.963828643748863,0.14438599221895818
e1_rr_08019045_10_M,hgb_direct,4,81.51316164906169,0.023906254189713632,2.417251204846902,79.07200419002507,0.1357956847121871,2.7735696224421877,8.975384259558037,0.09549311102936248
e1_rr_08019045_10_M,hgb_direct,5,83.2091288339492,0.02300933564991312,3.3119524256783257,79.87416707262093,0.09575630262685139,2.679624306799677,8.978492771200301,0.08907194638943425
e1_rr_08019045_10_M,hgb_direct,6,84.54563479195146,0.011869657052484852,3.597196832399857,80.93656830249914,0.07439464380619076,2.5677771664394906,9.021474925866107,0.08101390614558479
e1_rr_08019045_10_M,hgb_direct,7,84.65174995475142,0.02111586181894846,4.0497768737636015,80.58085721916886,0.05745497955262064,2.5290143301822536,8.991537224062297,0.07911060162721155
