station,period,support_type,horizon,p,method,n_cases,mse_calendar_aware,mse_compressed_time,difference,relative_difference,primary_estimator,note,code_commit,config_sha256,input_manifest_sha256,generated_at_utc,decision_id,canon_version
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,6,1,ar1,750,181.2709290522641,181.06382136601923,-0.20710768624488196,-0.00114253116772612,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,6,7,ar7,750,182.455461591956,181.7298533094932,-0.7256082824628152,-0.003976906342686348,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,6,14,ar14,750,184.3782977650977,182.5857213575265,-1.7925764075712038,-0.009722274417865537,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,6,21,ar21,750,184.21535684307648,182.55587118641546,-1.659485656661019,-0.009008400195835186,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,7,1,ar1,749,178.0612371976445,177.85546770995856,-0.2057694876859273,-0.0011556107939288728,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,7,7,ar7,749,179.33366183003727,178.49505581389872,-0.8386060161385558,-0.004676233159914735,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,7,14,ar14,749,180.89708839867075,179.2744561905327,-1.622632208138043,-0.00896991887764384,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Elche,2017-01-01..2024-12-31,GLOBAL_COMMON,7,21,ar21,749,180.77162232880758,179.08182902359164,-1.689793305215943,-0.009347669083493418,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Valencia Vivers,2017-01-01..2024-12-31,GLOBAL_COMMON,1,1,ar1,1180,74.48917754288935,74.37880446487388,-0.11037307801547058,-0.0014817330739343982,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Valencia Vivers,2017-01-01..2024-12-31,GLOBAL_COMMON,1,7,ar7,1180,74.5706649113212,74.40570543614241,-0.16495947517879017,-0.0022121228954436515,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
Valencia Vivers,2017-01-01..2024-12-31,GLOBAL_COMMON,1,14,ar14,1180,75.19379955757398,74.67054168982314,-0.5232578677508428,-0.0069587900974494256,CALENDAR_ALIGNED_TRAIN_ONLY,compressed-time estimation drops gaps before lagging and is invalid as a primary estimator,4a49b08b041c578ec5981dc1472125b2af0a4d59,572a6a79dfaf6247292af8c946e3f621c520377d7eb449bd78e9b309f483fc6a,7e61f4823860ac67fc2cf7b88c0b78031ccbd9e2a1f7bf6285099b2c126d9b06,2026-08-06T11:21:41Z,2026-08-06-p2-finite-linear-memory-skill-decomposition,2.0
