station,station_id,station_name,dataset,model,h,n,Skill_h,phi_h,r_h,alpha_h,beta_h,KGE_h,KGE_persistence_h,KGE_skill_h,mae_skill,skill_vp,alpha_source,province,station_type,station_class,lat,lon,altitude_m,dem_code,phi_source_sqrt_alpha,abs_alpha_h_minus_phi_source_sqrt_alpha,abs_alpha_h_minus_phi_h
44216001_10_M,44216001_10_M,Teruel,e1_rr_44216001_10_M,stl_ridge_direct,2,1711,-0.6260709387183585,1.1971675300964701,0.13053910941701247,1.1971675300964701,1.9868037357982944,-0.32989431465931696,0.2664601035464824,2.238062697824362,-1.3276020615774664,-0.897291189630705,1.4332100951172826,Teruel,Urban/Background,urban,40.33639,-1.10667,915,ES1421A,1.1971675300964701,0.0,0.0
44216001_10_M,44216001_10_M,Teruel,e1_rr_44216001_10_M,stl_ridge_direct,3,1709,-0.5306681536142857,1.1689450193863222,0.10525551036894523,1.1689450193863222,1.98470728134274,-0.34117804605875945,0.17475330430050695,2.952341029684151,-1.083629516861354,-0.7251221897102095,1.366432458348089,Teruel,Urban/Background,urban,40.33639,-1.10667,915,ES1421A,1.168945019386322,2.220446049250313e-16,0.0
44216001_10_M,44216001_10_M,Teruel,e1_rr_44216001_10_M,stl_ridge_direct,4,1707,-0.4867776099678345,1.1474841894216645,0.08712296447800041,1.1474841894216645,1.9827595807567469,-0.349411894745995,0.12840775513510871,3.7211120884275957,-0.9599919386967728,-0.640949797546339,1.3167199649726944,Teruel,Urban/Background,urban,40.33639,-1.10667,915,ES1421A,1.1474841894216645,0.0,0.0
44216001_10_M,44216001_10_M,Teruel,e1_rr_44216001_10_M,stl_ridge_direct,5,1705,-0.4623634645879388,1.1462016724253143,0.07420987069168379,1.1462016724253143,1.983749586152661,-0.3587588236328769,0.09630994817568717,4.725044301533986,-0.9453700521969024,-0.6074430744071668,1.3137782738705877,Teruel,Urban/Background,urban,40.33639,-1.10667,915,ES1421A,1.1462016724253143,0.0,0.0
44216001_10_M,44216001_10_M,Teruel,e1_rr_44216001_10_M,stl_ridge_direct,6,1703,-0.4343459222364314,1.1313069275998036,0.06388670375141164,1.1313069275998036,1.9801639441407661,-0.36171618556976837,0.06678701373070828,6.415965849712088,-0.9136210037696428,-0.5558999585948975,1.279855364435307,Teruel,Urban/Background,urban,40.33639,-1.10667,915,ES1421A,1.1313069275998036,0.0,0.0
44216001_10_M,44216001_10_M,Teruel,e1_rr_44216001_10_M,stl_ridge_direct,7,1701,-0.422329671789202,1.1201392640464551,0.06212710001240828,1.1201392640464551,1.9800460194693141,-0.3618110072893399,0.055546475808004425,7.513662694640328,-0.8727380409219001,-0.5299020948426674,1.254711970858534,Teruel,Urban/Background,urban,40.33639,-1.10667,915,ES1421A,1.1201392640464551,0.0,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,hgb_direct,1,1551,0.1150643208678378,0.6085603933610394,0.5233063679316102,0.6085603933610394,0.9676853448207833,0.3823382629306157,0.5320889190012529,0.2814391556052769,0.0489059290447814,0.0426135824824827,0.370345752367743,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.6085603933610394,0.0,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,hgb_direct,2,1546,0.2092429186473708,0.4426732110261658,0.3221236624752851,0.4426732110261658,0.9517771928636062,0.12110585517258121,0.27161577757959654,0.5541280545196188,0.1319772330175439,0.0410031527319965,0.1959595717602163,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.4426732110261658,0.0,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,hgb_direct,3,1539,0.242048725240239,0.379541932718382,0.22762975905833827,0.379541932718382,0.9452798906140601,0.007771048236179134,0.15507068640498012,0.9498870584999902,0.1742958668522156,0.0348676220155095,0.1440520786916048,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.379541932718382,0.0,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,hgb_direct,4,1536,0.2573729018469566,0.34212540607552805,0.20302317045767318,0.34212540607552805,0.937477322646486,-0.03531644116283572,0.11599192303643924,1.3044732791587648,0.2066565164052896,0.0301254450091381,0.1170497934823449,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.34212540607552794,1.1102230246251565e-16,0.0
