input_file,input_sha256,producer_commit,analysis_commit,execution_timestamp,evidence_label,station_status,model,horizon,fold,N,rmse_skill,variance_retention,std_ratio,alpha_kge,correlation,amplitude_ratio,temporal_variability,event_amplitude_retention,tp,fp,fn,tn,POD,CSI,event_bias,positive_skill,concordant_degradation
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,6,1,848,0.06602228089034201,0.34518574755146897,0.587525103762783,0.587525103762783,0.6548592712972072,0.5886905364446108,0.4824314251307856,0.725157598313393,311,96,136,305,0.6957494407158836,0.572744014732965,0.9105145413870246,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,6,2,813,0.11519072612515924,0.36152410513612465,0.6012687461827071,0.6012687461827071,0.6669711375826977,0.593123582113255,0.4909295264344195,0.7425952552003192,49,43,130,591,0.2737430167597765,0.22072072072072071,0.5139664804469274,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,6,3,783,-0.009874734917070915,0.3573471264565521,0.5977851842062933,0.5977851842062933,0.5892792865959249,0.5880990978397087,0.5018321588630883,0.5917215551990914,5,21,38,719,0.11627906976744186,0.078125,0.6046511627906976,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,6,4,866,0.08118880608676726,0.38733824672798045,0.6223650429836017,0.6223650429836017,0.7220142027270159,0.6176840248550519,0.5367976809063044,0.724543465796876,126,54,93,593,0.5753424657534246,0.46153846153846156,0.821917808219178,True,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,24,0,833,0.12347928055242208,0.024948685662247668,0.1579515294710617,0.1579515294710617,0.31368742071536954,0.1560190856742251,0.13937902563134888,0.5185336384341546,37,15,315,466,0.10511363636363637,0.1008174386920981,0.14772727272727273,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,24,1,830,0.06419912032541475,0.027545398157425727,0.16596806366715774,0.16596806366715774,0.35712366492021863,0.1622421793294628,0.14232003398731036,0.5163619235687155,65,26,366,373,0.15081206496519722,0.1422319474835886,0.2111368909512761,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,24,2,795,-0.036366066995005664,0.03162657655564641,0.1778386250386749,0.1778386250386749,0.6042000841956127,0.17805038314306978,0.1597225595885253,0.6652435717222147,0,0,179,616,0.0,0.0,0.0,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,24,3,765,-0.2925822778932341,0.03334989480496522,0.1826195356607973,0.1826195356607973,0.43951895267462376,0.17670199736046305,0.16477324354345463,0.5937969251905356,0,0,43,722,0.0,0.0,0.0,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,24,4,848,0.06273241577526423,0.04042895490742501,0.20106952754563534,0.20106952754563534,0.5272783878476976,0.20015638117670598,0.18467999262927684,0.5537138087230171,18,6,187,637,0.08780487804878048,0.08530805687203792,0.11707317073170732,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,48,0,809,0.2129374282290083,0.0004964653567175299,0.022281502568667354,0.022281502568667354,0.047665742970269334,0.021650291672962743,0.01938110518489327,0.4792372729154507,0,0,347,462,0.0,0.0,0.0,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,48,1,806,0.21075083965587538,0.0006915225268419196,0.02629681590691009,0.02629681590691009,0.08803089721829623,0.02442285258322642,0.019845342454235988,0.4808988839279933,0,0,407,399,0.0,0.0,0.0,True,True
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,48,2,771,-0.05103082560946426,0.0007020577845999406,0.026496373046134836,0.026496373046134836,0.5315053617267365,0.02695593569502616,0.023501705087370303,0.6340090721120484,0,0,173,598,0.0,0.0,0.0,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,48,3,742,-0.3058990343267658,0.0007001734511148412,0.026460790825575134,0.026460790825575134,0.2969999760355041,0.0257076472037763,0.02305338440641835,0.5757899413462388,0,0,43,699,0.0,0.0,0.0,False,False
predictions_rolling_origin.parquet,e7073712ba1ab9f3de29621dfa9c96eec634b86ad7bf66ae37a9c098d15b58c4,4909e048e0b9f516031b9e217be0b806fa9dfb8b,4909e048e0b9f516031b9e217be0b806fa9dfb8b,2026-08-07T13:44:18.739263+00:00,B_HIGH_SOURCE_PROVENANCE_PENDING,MISSING_FROM_SOURCE,sarima,48,4,824,0.11243416504902248,0.0011592431425936473,0.034047659869565886,0.034047659869565886,0.3906481863247492,0.03297866043444847,0.030001637634314796,0.5015028013351828,0,0,183,641,0.0,0.0,0.0,True,True
