dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag,station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code,dm_pval_bh,dm_significant,dm_stat,n_pairs,bias_sq,cond_bias_sq,irreducible_sq,rho,std_pred_ug,std_true_ug,base_rate_abs_50,base_rate_p75,base_rate_p90,f1_abs_50,f1_p75,f1_p90,flag_rate_abs_50,flag_rate_p75,flag_rate_p90,precision_abs_50,precision_p75,precision_p90,recall_abs_50,recall_p75,recall_p90,obs_mean_ug,obs_std_ug,observed_range_ug,rule_a,rule_b,discordant
e1_rr_08263007_10_M,lightgbm_direct,5,1422,0.1895738666443401,0.1544484548564057,0.1544846813654954,0.1144846813654954,0.1944846813654955,0.0745111350158995,True,False,False,False,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,Suburban/Industrial,industrial,41.40077,1.99963,65,ES2011A,1.5629263364994962e-10,True,6.67293917493578,1422,0.4084960898666309,2.592616749003516,94.0516942714334,0.2568831518120162,4.090715584862387,10.031250709400188,0.0147679324894514,0.2222222222222222,0.0857946554149085,,0.2782608695652174,0.0161290322580645,0.0,0.1012658227848101,0.0014064697609001,,0.4444444444444444,0.5,0.0,0.200506329113924,0.0081967213114754,22.73650998483316,9.856245754142842,19.712491508285684,True,False,True
e1_rr_22125001_10_M,lightgbm_direct,2,1488,0.1478065843622437,0.0989511546076093,0.2571079687675287,0.2171079687675287,0.2971079687675287,0.0749465334119871,True,False,False,False,22125001_10_M,Huesca,Huesca,Urban/Traffic,urban,42.13611,-0.40389,488,ES1417A,2.9594463772930626e-08,True,5.776887423937628,1488,0.1482053519792129,1.3848384378808267,62.134357077525365,0.3802422181111157,4.310684933838846,8.515561101974448,0.0040322580645161,0.2748655913978494,0.1081989247311828,,0.3317683881064162,0.184331797235023,0.0,0.1545698924731182,0.0376344086021505,,0.4608695652173913,0.3571428571428571,0.0,0.2606356968215158,0.124223602484472,14.509853461344113,8.811958371286911,17.623916742573822,True,False,True
e1_rr_43004005_10_M,lightgbm_direct,2,1506,0.1505340879492566,0.1167788157038635,0.2118808737874873,0.1718808737874873,0.2518808737874873,0.0692916229109611,True,False,False,False,43004005_10_M,Alcanar Llar de Jubilats,Tarragona,Rural Near-city/Industrial,rural,40.55282,0.52998,7,ES2017A,0.0014747915027522,True,3.38398694459084,1506,0.1851281894749522,1.0585380672686355,70.48493968014849,0.3566148291752782,4.1309736084706605,8.979880449417525,0.0079681274900398,0.2098273572377158,0.0896414342629482,,0.3695238095238095,0.1714285714285714,0.0,0.1387782204515272,0.0265604249667994,,0.4641148325358851,0.375,0.0,0.3063291139240506,0.1111111111111111,17.904089671289164,8.901999933112496,17.80399986622499,True,False,True
e1_rr_43004005_10_M,lightgbm_direct,3,1499,0.1627831815354312,0.1331838075688839,0.1452278866338977,0.1052278866338977,0.1852278866338977,0.0620346792583376,True,False,False,False,43004005_10_M,Alcanar Llar de Jubilats,Tarragona,Rural Near-city/Industrial,rural,40.55282,0.52998,7,ES2017A,0.0004388801599302,True,3.744233983485135,1499,0.3149485993996812,1.605767069577951,75.07411017996269,0.2562938207029115,3.48131598882122,8.960810965503358,0.0080053368912608,0.209472981987992,0.0887258172114743,,0.2764227642276423,0.1333333333333333,0.0,0.1187458305537024,0.0213475650433622,,0.3820224719101123,0.34375,0.0,0.2143949044585987,0.0827067669172932,17.904089671289164,8.901999933112496,17.80399986622499,True,False,True
e1_rr_43004006_10_M,lightgbm_direct,1,1591,0.105475500577228,0.0789996276817255,0.3715277304738679,0.3315277304738679,0.4115277304738679,0.0642905605649333,True,False,False,False,43004006_10_M,Alcanar Montecarlo,Tarragona,Rural Remote/Industrial,rural,40.57987,0.55352,6,ES2091A,7.148202241029633e-06,True,4.6657777972851635,1591,0.0534380856296787,1.3854297332704422,85.94965205164054,0.5060774765774867,6.448980629304802,10.730703670985957,0.0219987429289754,0.2325581395348837,0.0942803268384663,0.0512820512820512,0.4651162790697674,0.2296650717703349,0.0025141420490257,0.1728472658705216,0.0370835952231301,0.25,0.5454545454545454,0.4067796610169492,0.0285714285714285,0.4074594594594594,0.16,23.593463266106443,10.678566270325408,21.357132540650813,True,False,True
e1_rr_43004006_10_M,lightgbm_direct,2,1576,0.1891272542544652,0.1665377208263389,0.1771860747443913,0.1371860747443913,0.2171860747443913,0.0796102359559974,True,False,False,False,43004006_10_M,Alcanar Montecarlo,Tarragona,Rural Remote/Industrial,rural,40.57987,0.55352,6,ES2091A,4.58440430062268e-11,True,6.875753969121927,1576,0.1223744723433111,2.081907364790004,105.00673953976764,0.2984916233971219,4.5376140351120435,10.731535552715131,0.0215736040609137,0.2347715736040609,0.0939086294416243,,0.3046594982078853,0.0357142857142857,0.0,0.1192893401015228,0.0126903553299492,,0.4521276595744681,0.15,0.0,0.2302702702702702,0.0202702702702702,23.593463266106443,10.678566270325408,21.357132540650813,True,False,True
e1_rr_44013007_10_M,lightgbm_direct,1,1603,0.1784511861465981,0.1251979798125199,0.2502702325132095,0.2102702325132095,0.2902702325132095,0.0892738033613481,True,False,False,False,44013007_10_M,Alcaniz Capuchinos,Teruel,Urban/Industrial,industrial,41.05417,-0.13889,340,ES1966A,4.2256017434757124e-08,True,5.701894080952421,1603,0.0102663490931744,0.5747866792245432,202.45678752679703,0.459815628989074,7.917833405185872,16.001807857752134,0.0655021834061135,0.2782283218964441,0.1197754210854647,0.0545454545454545,0.4864253393665158,0.2023346303501945,0.0031191515907673,0.2732376793512164,0.040548970679975,0.6,0.4908675799086758,0.4,0.0285714285714285,0.4797309417040358,0.1354166666666666,24.681274900398407,15.55519692458687,31.11039384917374,True,False,True
e1_rr_44013007_10_M,lightgbm_direct,2,1594,0.256329894275798,0.2515265642220497,0.1694192355088383,0.1294192355088383,0.2094192355088383,0.1055068403444839,True,False,False,False,44013007_10_M,Alcaniz Capuchinos,Teruel,Urban/Industrial,industrial,41.05417,-0.13889,340,ES1966A,7.398526236102043e-15,True,8.127817479638912,1594,0.0030479999995281,4.913951976954639,235.91212538262192,0.2861654639222848,6.643494532942883,16.022702744490527,0.0658720200752823,0.2779171894604768,0.1198243412797992,0.036697247706422,0.3658243080625752,0.0651162790697674,0.0025094102885821,0.2434127979924717,0.015056461731493,0.5,0.3917525773195876,0.2916666666666667,0.019047619047619,0.33941309255079,0.0366492146596858,24.681274900398407,15.55519692458687,31.11039384917374,True,False,True
e1_rr_44013007_10_M,lightgbm_direct,3,1586,0.2819195810623027,0.286586395779038,0.1599838809276309,0.1199838809276309,0.1999838809276309,0.1127621519291864,True,False,False,False,44013007_10_M,Alcaniz Capuchinos,Teruel,Urban/Industrial,industrial,41.05417,-0.13889,340,ES1966A,0.0,True,9.225657717588868,1586,0.0069189216034507,4.574716201792889,236.74892614649292,0.2830770941733946,6.522561119199823,16.035914468324478,0.0655737704918032,0.2786885245901639,0.1191677175283732,0.037037037037037,0.372093023255814,0.055045871559633,0.0025220680958385,0.2364438839848676,0.0182849936948297,0.5,0.4053333333333333,0.2068965517241379,0.0192307692307692,0.3396380090497737,0.0317460317460317,24.681274900398407,15.55519692458687,31.11039384917374,True,False,True
e1_rr_44013007_10_M,lightgbm_direct,4,1578,0.30373922252032,0.3084622309186249,0.1489634245701545,0.1089634245701545,0.1889634245701545,0.1172305225656337,True,False,False,False,44013007_10_M,Alcaniz Capuchinos,Teruel,Urban/Industrial,industrial,41.05417,-0.13889,340,ES1966A,0.0,True,8.80152304701647,1578,0.0251491186526212,3.923651311494612,234.66841579094387,0.2822231064838617,6.333756544811986,15.96115587612979,0.0652724968314321,0.2769328263624842,0.11787072243346,0.0186915887850467,0.3440308087291399,0.0497512437810945,0.0025348542458808,0.2167300380228136,0.0095057034220532,0.25,0.391812865497076,0.3333333333333333,0.0097087378640776,0.3033409610983981,0.0268817204301075,24.681274900398407,15.55519692458687,31.11039384917374,True,False,True
