date,pm10
2018-05-29,18.0
2018-05-30,12.0
2018-06-01,19.0
2018-06-03,11.0
2018-06-04,17.0
2018-06-06,16.0
2018-06-07,15.0
2018-06-10,18.0
2018-06-14,20.0
2018-06-15,27.0
2018-06-16,25.0
2018-06-17,24.0
2018-06-18,19.0
2018-06-19,9.0
2018-06-20,21.0
2018-06-21,22.0
2018-06-22,29.0
2018-06-23,20.0
2018-06-24,19.0
2018-06-25,24.0
2018-06-26,22.0
2018-06-27,26.0
2018-06-28,31.0
2018-06-29,23.0
2018-06-30,22.0
2018-07-01,28.0
2018-07-02,37.0
2018-07-05,32.0
2018-07-06,29.0
2018-07-07,22.0
2018-07-08,23.0
2018-07-09,34.0
2018-07-10,23.0
2018-07-11,27.0
2018-07-12,23.0
2018-07-13,24.0
2018-07-14,26.0
2018-07-15,32.0
2018-07-16,33.0
2018-07-18,27.0
2018-07-19,26.0
2018-07-20,27.0
2018-07-21,24.0
2018-07-22,18.0
2018-07-25,23.0
2018-07-26,24.0
2018-07-27,27.0
2018-07-28,31.0
2018-07-29,30.0
2018-07-30,31.0
2018-07-31,29.0
2018-08-01,26.0
2018-08-02,33.0
2018-08-03,34.0
2018-08-04,28.0
2018-08-14,20.0
2018-08-16,27.0
2018-08-17,18.0
2018-08-18,15.0
2018-08-19,16.0
2018-08-28,27.0
2018-08-29,20.0
2018-08-30,21.0
2018-08-31,22.0
2018-09-01,23.0
2018-09-02,23.0
2018-09-03,19.0
2018-09-04,19.0
2018-09-05,22.0
2018-09-06,19.0
2018-09-12,21.0
2018-09-13,19.0
2018-09-14,20.0
2018-09-15,13.0
2018-09-16,11.0
2018-09-17,15.0
2018-09-18,16.0
2018-09-19,21.0
2018-09-20,28.0
2018-09-21,32.0
2018-09-22,27.0
2018-09-23,27.0
2018-09-24,22.0
2018-09-25,22.0
2018-09-26,17.0
2018-09-27,16.0
2018-09-28,22.0
2018-09-30,17.0
2018-10-01,24.0
2018-10-02,21.0
2018-10-03,25.0
2018-10-04,21.0
2018-10-05,15.0
2018-10-06,20.0
2018-10-07,21.0
2018-10-08,11.0
2018-10-09,8.0
2018-10-10,15.0
2018-10-11,22.0
2018-10-12,19.0
2018-10-13,17.0
2018-10-14,12.0
2018-10-15,11.0
2018-10-16,18.0
2018-10-19,11.0
2018-10-20,20.0
2018-10-21,25.0
2018-10-22,27.0
2018-10-23,24.0
2018-10-24,2.0
2018-10-25,25.0
2018-10-26,32.0
2018-10-27,7.0
2018-10-29,11.0
2018-10-30,10.0
2018-11-01,13.0
2018-11-02,20.0
2018-11-03,13.0
2018-11-04,14.0
2018-11-05,22.0
2018-11-06,10.0
2018-11-07,17.0
2018-11-08,20.0
2018-11-09,14.0
2018-11-15,23.0
2018-11-16,18.0
2018-11-17,20.0
2018-11-18,15.0
2018-11-19,14.0
2018-11-20,23.0
2018-11-21,14.0
2018-11-22,20.0
2018-11-23,14.0
2018-11-24,8.0
2018-11-25,8.0
2018-11-26,8.0
2018-11-27,10.0
2018-11-28,20.0
2018-11-29,24.0
2018-11-30,18.0
2018-12-01,18.0
2018-12-02,20.0
2018-12-03,31.0
2018-12-04,26.0
2018-12-05,32.0
