station_id,provincia,municipio,estacion,source_years_present,usable_years_300_days_at_75pct,overall_coverage_fraction,metadata_conflict_flag,included_under_proposed_contract,exclusion_reasons
24206002_10_47,24,206,2,2,2,0.4915868126853753,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
25209001_10_47,25,209,1,1,1,0.2395049053159936,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
26011001_10_49,26,11,1,4,4,0.9527720739219713,NO,YES,
26019001_10_49,26,19,1,4,4,0.95927446954141,NO,YES,
26066001_10_49,26,66,1,4,4,0.9788101756787588,NO,YES,
26089001_10_49,26,89,1,4,4,0.978040155144878,NO,YES,
26117001_10_49,26,117,1,4,4,0.9639801505817933,NO,YES,
27013002_10_47,27,13,2,4,3,0.9285877253023044,NO,YES,
27025015_10_47,27,25,15,4,4,0.9912160620579512,NO,YES,
27028005_10_49,27,28,5,4,4,0.9689995436915355,NO,YES,
27033001_10_47,27,33,1,4,4,0.9711955281770477,NO,YES,
27038003_10_47,27,38,3,2,1,0.26448779374857406,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
27038004_10_47,27,38,4,2,1,0.3066392881587953,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
27038004_10_A,27,38,4,2,1,0.4292151494410221,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
27057001_10_47,27,57,1,3,2,0.6191820670773442,NO,NO,fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
27065004_10_47,27,65,4,4,4,0.9869381702030573,NO,YES,
27902002_10_A,27,902,2,2,2,0.48451403148528405,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
28005002_10_49,28,5,2,4,4,0.984827743554643,NO,YES,
28006004_10_49,28,6,4,4,4,0.9897615788272872,NO,YES,
28013002_10_49,28,13,2,4,4,0.9782397900981064,NO,YES,
28014002_10_49,28,14,2,4,4,0.9909023499885923,NO,YES,
28016001_10_49,28,16,1,4,4,0.9913301391740816,NO,YES,
28045002_10_49,28,45,2,4,4,0.9950661647273557,NO,YES,
28049003_10_49,28,49,3,4,4,0.9852840520191649,NO,YES,
28058004_10_49,28,58,4,4,4,0.9874800365046772,NO,YES,
28065014_10_49,28,65,14,4,4,0.9911875427789185,NO,YES,
28067001_10_49,28,67,1,4,4,0.9932979694273328,NO,YES,
28074007_10_49,28,74,7,4,4,0.9829739904175222,NO,YES,
28079008_10_47,28,79,8,4,4,0.9194330367328314,NO,YES,
28079018_10_47,28,79,18,4,4,0.9404802646589094,NO,YES,
28079024_10_47,28,79,24,4,4,0.9723648186173853,NO,YES,
28079036_10_47,28,79,36,4,4,0.9691991786447639,NO,YES,
