station_id,horizon,expected_keys,xgboost_keys,sarima_keys,persistence_keys,common_keys,removed_keys,duplicate_xgboost_keys,duplicate_sarima_keys,y_true_mismatch_keys,y_persistence_mismatch_keys,reason
08202001_10_47,1,1061,1061,1061,1061,1061,0,0,0,0,0,OK
08202001_10_47,2,1060,1060,1060,1060,1060,0,0,0,0,0,OK
08202001_10_47,3,1059,1059,1059,1059,1059,0,0,0,0,0,OK
08202001_10_47,4,1058,1058,1058,1058,1058,0,0,0,0,0,OK
08202001_10_47,5,1057,1057,1057,1057,1057,0,0,0,0,0,OK
08202001_10_47,6,1056,1056,1056,1056,1056,0,0,0,0,0,OK
08202001_10_47,7,1055,1055,1055,1055,1055,0,0,0,0,0,OK
08260010_10_47,all,6476,6476,6476,6476,6476,0,0,0,0,0,OK
08260010_10_47,1,929,929,929,929,929,0,0,0,0,0,OK
08260010_10_47,2,928,928,928,928,928,0,0,0,0,0,OK
08260010_10_47,3,927,927,927,927,927,0,0,0,0,0,OK
08260010_10_47,4,925,925,925,925,925,0,0,0,0,0,OK
08260010_10_47,5,922,922,922,922,922,0,0,0,0,0,OK
08260010_10_47,6,922,922,922,922,922,0,0,0,0,0,OK
08260010_10_47,7,923,923,923,923,923,0,0,0,0,0,OK
08263001_10_47,all,6455,6455,6455,6455,6455,0,0,0,0,0,OK
08263001_10_47,1,931,931,931,931,931,0,0,0,0,0,OK
08263001_10_47,2,926,926,926,926,926,0,0,0,0,0,OK
08263001_10_47,3,922,922,922,922,922,0,0,0,0,0,OK
08263001_10_47,4,918,918,918,918,918,0,0,0,0,0,OK
08263001_10_47,5,917,917,917,917,917,0,0,0,0,0,OK
08263001_10_47,6,918,918,918,918,918,0,0,0,0,0,OK
08263001_10_47,7,923,923,923,923,923,0,0,0,0,0,OK
09018002_10_49,all,6929,6929,6929,6929,6929,0,0,0,0,0,OK
09018002_10_49,1,998,998,998,998,998,0,0,0,0,0,OK
09018002_10_49,2,994,994,994,994,994,0,0,0,0,0,OK
09018002_10_49,3,990,990,990,990,990,0,0,0,0,0,OK
09018002_10_49,4,988,988,988,988,988,0,0,0,0,0,OK
09018002_10_49,5,987,987,987,987,987,0,0,0,0,0,OK
09018002_10_49,6,986,986,986,986,986,0,0,0,0,0,OK
09018002_10_49,7,986,986,986,986,986,0,0,0,0,0,OK
09059003_10_49,all,7118,7118,7118,7118,7118,0,0,0,0,0,OK
