station_id,provincia,municipio,estacion,first_timestamp_utc,last_timestamp_utc,expected_hourly_observations,observed_valid_pm10_observations,coverage_fraction,number_of_source_years_present,longest_missing_run_hours,days_with_sufficient_hourly_support_75pct,expected_hours_2020,valid_hours_2020,coverage_2020,source_days_2020,usable_days_75pct_2020,expected_hours_2021,valid_hours_2021,coverage_2021,source_days_2021,usable_days_75pct_2021,expected_hours_2022,valid_hours_2022,coverage_2022,source_days_2022,usable_days_75pct_2022,expected_hours_2023,valid_hours_2023,coverage_2023,source_days_2023,usable_days_75pct_2023
07040003_10_49,7,40,3,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34260,0.9770704996577686,4,72,1431,8784,8562,0.9747267759562842,363,359,8760,8583,0.9797945205479452,363,360,8760,8483,0.9683789954337899,361,352,8760,8632,0.9853881278538813,365,360
07040006_10_47,7,40,6,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31415,0.8959331508099475,4,1536,1308,8784,7893,0.8985655737704918,334,331,8760,7483,0.8542237442922375,322,311,8760,7950,0.9075342465753424,353,333,8760,8089,0.9234018264840183,354,333
07042001_10_49,7,42,1,2020-01-01T01:00:00Z,2023-11-27T10:00:00Z,35064,33056,0.9427332877024869,4,830,1374,8784,8666,0.9865664845173042,364,362,8760,8302,0.9477168949771689,353,345,8760,8298,0.9472602739726027,357,343,8760,7790,0.889269406392694,331,324
07044001_10_49,7,44,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33978,0.9690280629705681,4,283,1418,8784,8663,0.9862249544626593,365,361,8760,8425,0.96175799086758,356,355,8760,8470,0.9668949771689498,360,353,8760,8420,0.9611872146118722,359,349
07046001_10_49,7,46,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34222,0.9759867670545289,4,154,1424,8784,8642,0.9838342440801457,363,361,8760,8679,0.9907534246575342,364,362,8760,8332,0.9511415525114155,351,346,8760,8569,0.9781963470319635,361,355
07054001_10_47,7,54,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31485,0.8979295003422314,4,1536,1305,8784,7842,0.89275956284153,331,325,8760,6628,0.7566210045662101,288,271,8760,8566,0.9778538812785388,364,354,8760,8449,0.9644977168949772,363,355
08022006_10_47,8,22,6,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,8620,0.2458361852612366,1,26304,361,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8620,0.9840182648401826,364,361
08096014_10_47,8,96,14,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34157,0.9741330139174081,4,65,1421,8784,8592,0.9781420765027322,365,358,8760,8484,0.9684931506849315,361,354,8760,8535,0.9743150684931506,364,352,8760,8546,0.9755707762557078,362,357
08101001_10_47,8,101,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34310,0.9784964636093999,4,121,1433,8784,8578,0.9765482695810564,362,358,8760,8580,0.9794520547945206,364,360,8760,8571,0.9784246575342466,363,357,8760,8581,0.9795662100456621,365,358
08112003_10_47,8,112,3,2022-01-01T01:00:00Z,2023-01-01T00:00:00Z,35064,8502,0.24247091033538673,1,17544,356,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,8502,0.9705479452054795,360,356,8760,0,0.0,0,0
08113007_10_47,8,113,7,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,8379,0.2389630390143737,1,26304,347,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8379,0.9565068493150685,358,347
08114006_10_47,8,114,6,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,8615,0.24569358886607345,1,26304,360,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8615,0.9834474885844748,365,360
08125002_10_47,8,125,2,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,8701,0.2481462468628793,1,26304,363,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8701,0.9932648401826484,365,363
