station_id,condition,fold,origin,target_time,horizon,reason
21041008_10_49,lags_only,17,2023-02-16,2023-02-21,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-16,2023-02-22,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-16,2023-02-23,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-17,2023-02-18,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-17,2023-02-19,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-17,2023-02-20,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-17,2023-02-21,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-17,2023-02-22,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-17,2023-02-23,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-17,2023-02-24,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-20,2023-02-21,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-20,2023-02-22,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-20,2023-02-23,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-20,2023-02-24,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-20,2023-02-25,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-20,2023-02-26,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-20,2023-02-27,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-21,2023-02-22,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-21,2023-02-23,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-21,2023-02-24,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-21,2023-02-25,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-21,2023-02-26,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-21,2023-02-27,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-21,2023-02-28,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-22,2023-02-23,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-22,2023-02-24,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-22,2023-02-25,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-22,2023-02-26,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-22,2023-02-27,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-22,2023-02-28,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-22,2023-03-01,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-23,2023-02-24,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-23,2023-02-25,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-23,2023-02-26,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-23,2023-02-27,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-23,2023-02-28,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-23,2023-03-01,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-23,2023-03-02,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-24,2023-02-25,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-24,2023-02-26,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-24,2023-02-27,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-24,2023-02-28,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-24,2023-03-01,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-24,2023-03-02,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-24,2023-03-03,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-25,2023-02-26,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-25,2023-02-27,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-25,2023-02-28,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-25,2023-03-01,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-25,2023-03-02,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-25,2023-03-03,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-25,2023-03-04,7,historical_nan_block_numbering_divergence
