station_id,station_name,station_type,model,horizon,skill,alpha,recall_p75,dm_significant,n_pairs,rule_a_rc,decision_change_rc,reason_rc
43004005_10_M,Alcanar Llar de Jubilats,Rural Near-city/Industrial,ridge_direct,1,0.1043771266752907,0.415793107156367,0.5047619047619047,True,1513,True,True,collapse_only
43004005_10_M,Alcanar Llar de Jubilats,Rural Near-city/Industrial,ridge_direct,2,0.1737851287279077,0.1709816964203485,0.2911392405063291,True,1506,True,True,collapse_only
22125001_10_M,Huesca,Urban/Traffic,hgb_direct,2,0.1466647056443955,0.266817231027285,0.2591687041564792,True,1488,True,True,collapse_only
22125001_10_M,Huesca,Urban/Traffic,ridge_direct,1,0.0899913882371304,0.4947090084535672,0.6140776699029126,True,1499,True,True,collapse_only
22125001_10_M,Huesca,Urban/Traffic,ridge_direct,2,0.1625051073504467,0.1926319858321604,0.295843520782396,True,1488,True,True,collapse_only
22125001_10_M,Huesca,Urban/Traffic,sarima,3,0.1794296071239648,0.1449874713767845,0.2127659574468085,True,108,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,hgb_direct,1,0.1775177996783613,0.2549308919802796,0.4820627802690583,True,1603,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,hgb_direct,2,0.255330757399563,0.1790067720440561,0.3431151241534989,True,1594,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,hgb_direct,3,0.2812110307095371,0.1722648621392002,0.3438914027149321,True,1586,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,hgb_direct,4,0.3031680632945924,0.1639615075882175,0.3066361556064073,True,1578,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,hgb_direct,5,0.308210842418793,0.1525465858102478,0.2702078521939954,True,1570,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,hgb_direct,6,0.24511340003398,0.1567231404507468,0.2651162790697674,True,1561,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,hgb_direct,7,0.1973628481456341,0.1549100925947006,0.2976744186046511,True,1557,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,ridge_direct,1,0.1752973486195908,0.2217177026388803,0.4237668161434977,True,1603,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,ridge_direct,2,0.2664130977185105,0.1072560413397015,0.2505643340857788,True,1594,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,ridge_direct,3,0.2881627091350546,0.1066452379078153,0.2375565610859728,True,1586,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,ridge_direct,4,0.3088733708188462,0.1039998472269582,0.2242562929061785,True,1578,True,True,collapse_only
44013007_10_M,Alcaniz Capuchinos,Urban/Industrial,ridge_direct,5,0.3129306888179469,0.0990128220275772,0.2124711316397228,True,1570,True,True,collapse_only
08019004_10_M,Barcelona El Poblenou,Urban/Background,hgb_direct,1,0.0921807124535031,0.4932608970988938,0.4120171673819742,True,1354,True,True,collapse_only
08019004_10_M,Barcelona El Poblenou,Urban/Background,hgb_direct,2,0.1415381101030542,0.228797926679686,0.2121212121212121,True,1347,True,True,collapse_only
08019004_10_M,Barcelona El Poblenou,Urban/Background,ridge_direct,1,0.0943243775351351,0.4496270936663591,0.3948497854077253,True,1354,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,hgb_direct,1,0.0884719477668266,0.3837805239824234,0.4412698412698412,True,1453,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,hgb_direct,2,0.145078733969171,0.269557821979543,0.310126582278481,True,1439,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,hgb_direct,3,0.169206569233,0.2130680694682566,0.273015873015873,True,1429,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,hgb_direct,4,0.1836993830176825,0.1860794064516731,0.2197452229299363,True,1425,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,hgb_direct,5,0.1886994658645023,0.1731554836469667,0.2025316455696202,True,1422,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,ridge_direct,1,0.1041602467073767,0.3327788550361783,0.4571428571428571,True,1453,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,ridge_direct,2,0.1610480624057648,0.1947410232754327,0.2721518987341772,True,1439,True,True,collapse_only
08263007_10_M,Sant Vicenc dels Horts Alaba,Suburban/Industrial,ridge_direct,3,0.1862218871144705,0.1406019449237301,0.2126984126984127,True,1429,True,True,collapse_only
46250043_10_M,Valencia-Vivers,Urban/Residential,hgb_direct,1,0.0737028562176991,0.3983085699378004,0.5232876712328767,True,1479,True,True,collapse_only
46250043_10_M,Valencia-Vivers,Urban/Residential,hgb_direct,2,0.1774493329506257,0.2276565180998454,0.2972222222222222,True,1470,True,True,collapse_only
46250043_10_M,Valencia-Vivers,Urban/Residential,hgb_direct,3,0.1936365310565044,0.1743030932925223,0.2033898305084746,True,1461,True,True,collapse_only
46250043_10_M,Valencia-Vivers,Urban/Residential,ridge_direct,1,0.0954615809187324,0.4094559265345033,0.5041095890410959,True,1479,True,True,collapse_only
46250043_10_M,Valencia-Vivers,Urban/Residential,ridge_direct,2,0.1751919655401376,0.2039809647315113,0.2722222222222222,True,1470,True,True,collapse_only
