station_id,model,horizon,skill,alpha,recall_p75,dm_significant,station_type,rule_a_rc,rule_b_rc,decision_change_rc,reason_rc
45153999_10_M,seasonal_naive,7,0.0,1.0284455264144607,0.3956989247311828,False,Rural Remote/Background,False,False,False,n/a
45153999_10_M,stl_ridge_direct,1,-0.7259622309266258,1.5409984423296128,0.9658848614072496,True,Rural Remote/Background,False,False,False,n/a
45153999_10_M,stl_ridge_direct,2,-0.4165294653919269,1.402304675458886,0.97008547008547,True,Rural Remote/Background,False,False,False,n/a
45153999_10_M,stl_ridge_direct,3,-0.3217620031065469,1.370783664310688,0.9635193133047212,True,Rural Remote/Background,False,False,False,n/a
45153999_10_M,stl_ridge_direct,4,-0.2791293572497817,1.3098333657987526,0.9593147751605996,True,Rural Remote/Background,False,False,False,n/a
45153999_10_M,stl_ridge_direct,5,-0.2687080506875132,1.309974518850065,0.965665236051502,True,Rural Remote/Background,False,False,False,n/a
45153999_10_M,stl_ridge_direct,6,-0.2474924925103676,1.298934625770637,0.9655913978494624,True,Rural Remote/Background,False,False,False,n/a
45153999_10_M,stl_ridge_direct,7,-0.2440201136139301,1.300128726471384,0.9634408602150538,True,Rural Remote/Background,False,False,False,n/a
08019028_10_M,hgb_direct,1,0.0583157156074484,0.4868172835872158,0.4574468085106383,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,hgb_direct,2,0.1493379889837482,0.2714382781701528,0.2846975088967972,True,Urban/Traffic,True,False,True,collapse_only
08019028_10_M,hgb_direct,3,0.1872927696137173,0.2109236472030908,0.2258064516129032,True,Urban/Traffic,True,False,True,collapse_only
08019028_10_M,hgb_direct,4,0.2111964495825539,0.1652173413795293,0.1601423487544484,True,Urban/Traffic,True,False,True,both
08019028_10_M,hgb_direct,5,0.2213452387118556,0.1455148725792733,0.1357142857142857,True,Urban/Traffic,True,False,True,both
08019028_10_M,hgb_direct,6,0.2102879401035242,0.1394818002924061,0.1459074733096085,True,Urban/Traffic,True,False,True,both
08019028_10_M,hgb_direct,7,0.1934338929203042,0.1392610973275853,0.1519434628975265,True,Urban/Traffic,True,False,True,both
08019028_10_M,ridge_direct,1,0.0957226917093506,0.4782794231677706,0.5070921985815603,True,Urban/Traffic,True,False,True,collapse_only
08019028_10_M,ridge_direct,2,0.173415931794217,0.2050816290799438,0.2740213523131672,True,Urban/Traffic,True,False,True,collapse_only
08019028_10_M,ridge_direct,3,0.2158768626386846,0.1171170561980712,0.1827956989247312,True,Urban/Traffic,True,False,True,both
08019028_10_M,ridge_direct,4,0.2384420224427619,0.0783212220636009,0.1316725978647686,True,Urban/Traffic,True,False,True,both
08019028_10_M,ridge_direct,5,0.2460380050527101,0.0672592137262516,0.1178571428571428,True,Urban/Traffic,True,False,True,both
08019028_10_M,ridge_direct,6,0.2312505921946567,0.0631500670098657,0.1032028469750889,True,Urban/Traffic,True,False,True,both
08019028_10_M,ridge_direct,7,0.2140867506929954,0.0588970012489588,0.0989399293286219,True,Urban/Traffic,True,False,True,both
08019028_10_M,sarima,1,0.0498714823828565,0.5285289595264814,0.4482758620689655,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,sarima,2,0.2116698580537701,0.3257796190175865,0.21875,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,sarima,3,0.2897654817087807,0.1875884536789086,0.0384615384615384,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,sarima,4,0.2234398368823777,0.1106475496724064,0.0666666666666666,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,sarima,5,0.2533513756625635,0.1068566464279028,0.0,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,sarima,6,0.3016932608525395,0.0964059051915106,0.0,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,sarima,7,0.1649501916789183,0.0846784629760311,0.09375,True,Urban/Traffic,True,False,True,both
08019028_10_M,seasonal_naive,1,-0.4668429588312475,1.0101543481715576,0.3120567375886525,True,Urban/Traffic,False,False,False,n/a
08019028_10_M,seasonal_naive,2,-0.1410000482483162,1.0336716465812406,0.3060498220640569,True,Urban/Traffic,False,False,False,n/a
08019028_10_M,seasonal_naive,3,-0.0319305642739513,1.0418481020058352,0.3118279569892473,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,seasonal_naive,4,0.0295791208592276,1.0092325802106017,0.3131672597864768,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,seasonal_naive,5,0.0419688754038303,1.0194150074656816,0.3178571428571428,True,Urban/Traffic,True,True,False,no_change
08019028_10_M,seasonal_naive,6,0.0240886986380554,1.0167201895731222,0.3202846975088968,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,seasonal_naive,7,0.0,1.024994007541155,0.3250883392226148,False,Urban/Traffic,False,False,False,n/a
08019028_10_M,stl_ridge_direct,1,-2.4690058772971235,1.7660733676421996,1.0,True,Urban/Traffic,False,False,False,n/a
08019028_10_M,stl_ridge_direct,2,-1.764445465860332,1.61483468791144,1.0,True,Urban/Traffic,False,False,False,n/a
08019028_10_M,stl_ridge_direct,3,-1.525396974602772,1.5341989615084088,1.0,True,Urban/Traffic,False,False,False,n/a
08019028_10_M,stl_ridge_direct,4,-1.391100133068624,1.451376733069777,1.0,True,Urban/Traffic,False,False,False,n/a
08019028_10_M,stl_ridge_direct,5,-1.3655138199972372,1.421840893697212,1.0,True,Urban/Traffic,False,False,False,n/a
08019028_10_M,stl_ridge_direct,6,-1.4098851703391788,1.363761182404448,1.0,True,Urban/Traffic,False,False,False,n/a
