station_id,model,horizon,condition,n,mae,rmse,bias,mae_persistence,rmse_persistence,skill_mae,skill_rmse
01051001_10_49,sarima,7,lags_only,901,7.936801383936245,11.833692472559939,-6.744826678116327,7.084483859529868,11.772236758047175,-0.12030763867996684,-0.005220394031810028
01051001_10_49,xgboost_direct,7,lags_only,901,5.702683253113102,9.23980599820001,-1.011329282272182,7.084483859529868,11.772236758047175,0.19504605188111238,0.21511891171540234
01055001_10_47,persistence,1,lags_only,917,3.1997256847339446,7.039550612652522,,,,,
01055001_10_47,sarima,1,lags_only,917,3.33994430022533,6.7595874223921815,-1.0719289324964836,3.1997256847339446,7.039550612652522,-0.0438220739235165,0.03977003727441764
01055001_10_47,xgboost_direct,1,lags_only,917,4.719053349919902,8.408159605102014,-0.09209482577585738,3.1997256847339446,7.039550612652522,-0.47483059952131124,-0.1944170967376278
01055001_10_47,persistence,2,lags_only,916,4.607069563785536,9.368225714305822,,,,,
01055001_10_47,sarima,2,lags_only,916,4.490367165953564,8.47412793580705,-1.7920907255932406,4.607069563785536,9.368225714305822,0.025331156001924985,0.09543939330298506
01055001_10_47,xgboost_direct,2,lags_only,916,5.208061801642803,9.412547645384873,0.12902487947034785,4.607069563785536,9.368225714305822,-0.13045000287849873,-0.004731091289929982
01055001_10_47,persistence,3,lags_only,913,5.337654107279853,10.193673717493752,,,,,
01055001_10_47,sarima,3,lags_only,913,5.1111302390333675,9.131066487791642,-2.4660452906846575,5.337654107279853,10.193673717493752,0.042438843674328215,0.10424183264552885
01055001_10_47,xgboost_direct,3,lags_only,913,5.133320690352089,8.892794452003272,-0.06323971557390518,5.337654107279853,10.193673717493752,0.03828150210203406,0.1276163335754009
01055001_10_47,persistence,4,lags_only,913,5.8475443763333415,10.948850739149089,,,,,
01055001_10_47,sarima,4,lags_only,913,5.516914082503549,9.669629335955566,-3.050521883030124,5.8475443763333415,10.948850739149089,0.05654173317058466,0.1168361350127365
01055001_10_47,xgboost_direct,4,lags_only,913,5.377176454501354,9.32714229536452,-0.015592483955014912,5.8475443763333415,10.948850739149089,0.0804385382239592,0.14811677338754206
01055001_10_47,persistence,5,lags_only,914,6.38553564321369,11.530379077584476,,,,,
01055001_10_47,sarima,5,lags_only,914,5.826113875938445,10.091601524636687,-3.629840826881736,6.38553564321369,11.530379077584476,0.08760764930813254,0.12478146149980712
01055001_10_47,xgboost_direct,5,lags_only,914,5.289314743227544,9.099356375948462,-0.22036796400434167,6.38553564321369,11.530379077584476,0.17167250505463383,0.21083632075566539
01055001_10_47,persistence,6,lags_only,912,6.583242910851343,11.892292888476948,,,,,
01055001_10_47,sarima,6,lags_only,912,6.000165302533631,10.322533831336056,-4.095336259809651,6.583242910851343,11.892292888476948,0.08856996714440067,0.13199801517350052
01055001_10_47,xgboost_direct,6,lags_only,912,5.405553906606546,9.159979381755882,0.03643456931623465,6.583242910851343,11.892292888476948,0.17889192609064747,0.22975497932518504
01055001_10_47,persistence,7,lags_only,911,6.619139457895746,11.93831121000776,,,,,
01055001_10_47,sarima,7,lags_only,911,6.088530646800339,10.358399277159993,-4.499574602125687,6.619139457895746,11.93831121000776,0.08016280884707175,0.13233965047948681
01055001_10_47,xgboost_direct,7,lags_only,911,5.308603325148719,9.036403638187405,-0.027463737053178516,6.619139457895746,11.93831121000776,0.19799192041251415,0.24307521564588766
01059008_10_49,persistence,1,lags_only,985,5.145188198471138,8.595842684200445,,,,,
01059008_10_49,sarima,1,lags_only,985,5.243451358807767,8.690650250797965,-1.9198009760196997,5.145188198471138,8.595842684200445,-0.01909806921461628,-0.011029467392624693
01059008_10_49,xgboost_direct,1,lags_only,985,6.913007079406663,10.598468636705954,-0.5192759526922454,5.145188198471138,8.595842684200445,-0.3435868257376516,-0.2329761055523303
01059008_10_49,persistence,2,lags_only,982,7.17317318259827,11.36970767256688,,,,,
01059008_10_49,sarima,2,lags_only,982,6.973976476500345,10.741276892491717,-3.382713836614444,7.17317318259827,11.36970767256688,0.027769677523075166,0.05527237798659126
01059008_10_49,xgboost_direct,2,lags_only,982,7.1011807787289385,10.693843141742468,-0.588845638984948,7.17317318259827,11.36970767256688,0.010036339850818221,0.05944431908791778
01059008_10_49,persistence,3,lags_only,980,7.884844725298363,12.06453984073465,,,,,
01059008_10_49,sarima,3,lags_only,980,7.565214487646558,11.081521763875985,-4.647570431205602,7.884844725298363,12.06453984073465,0.040537290052938886,0.08147994783353507
01059008_10_49,xgboost_direct,3,lags_only,980,6.885846749373369,9.95891350498033,-0.9170293884222632,7.884844725298363,12.06453984073465,0.12669849701919048,0.1745301821330055
01059008_10_49,persistence,4,lags_only,980,8.50611258676254,13.252453809219299,,,,,
01059008_10_49,sarima,4,lags_only,980,8.323812278668436,12.465427807463143,-5.8992239974688125,8.50611258676254,13.252453809219299,0.02143168294971849,0.059387190710949465
01059008_10_49,xgboost_direct,4,lags_only,980,7.180680420499277,10.877512124541354,-1.0214696372840346,8.50611258676254,13.252453809219299,0.15582114070838185,0.17920769382540877
01059008_10_49,persistence,5,lags_only,980,8.761169911499326,13.325341457962285,,,,,
01059008_10_49,sarima,5,lags_only,980,8.73390588796619,12.840966013679258,-6.7839157429590955,8.761169911499326,13.325341457962285,0.0031119158523968374,0.036349946139173625
01059008_10_49,xgboost_direct,5,lags_only,980,7.0420604450451,10.443645262045564,-0.7720904972458951,8.761169911499326,13.325341457962285,0.1962191675107041,0.21625683702047444
01059008_10_49,persistence,6,lags_only,978,8.810053922027114,13.304019352030984,,,,,
01059008_10_49,sarima,6,lags_only,978,9.21718353955441,13.312801539615721,-7.71884419918457,8.810053922027114,13.304019352030984,-0.04621193254100077,-0.0006601153645643533
01059008_10_49,xgboost_direct,6,lags_only,978,7.44502276303308,11.08603171778322,-0.5830418064599758,8.810053922027114,13.304019352030984,0.15494015939915526,0.16671560492800755
01059008_10_49,persistence,7,lags_only,977,8.909221067230279,13.482005829090536,,,,,
01059008_10_49,sarima,7,lags_only,977,9.589088660794703,13.600244061889113,-8.37954834474712,8.909221067230279,13.482005829090536,-0.07631055379971428,-0.00877007726427847
01059008_10_49,xgboost_direct,7,lags_only,977,7.145762877413063,10.56499559569391,-0.7251410152727745,8.909221067230279,13.482005829090536,0.19793629280381572,0.2163632229784758
01059009_10_47,persistence,1,lags_only,925,3.7455907708951193,5.827566749885425,,,,,
01059009_10_47,sarima,1,lags_only,925,3.7837497474583275,5.840330843557499,-1.259714865365666,3.7455907708951193,5.827566749885425,-0.010187705731154661,-0.0021902955761639747
01059009_10_47,xgboost_direct,1,lags_only,925,5.184355039438347,7.090500439129885,0.9825922463745034,3.7455907708951193,5.827566749885425,-0.3841221202601886,-0.216717155452452
01059009_10_47,persistence,2,lags_only,922,5.3309804740932725,7.9963893776566595,,,,,
01059009_10_47,sarima,2,lags_only,922,5.162486700238213,7.61396330006922,-2.3733269731815976,5.3309804740932725,7.9963893776566595,0.03160652616791254,0.04782484437989051
01059009_10_47,xgboost_direct,2,lags_only,922,5.437587881355267,7.391486857324687,1.1157799629737233,5.3309804740932725,7.9963893776566595,-0.019997711073989014,0.07564695661546672
01059009_10_47,persistence,3,lags_only,920,5.878572516278092,8.823063109550107,,,,,
