station_id,horizon,condition,accuracy_metric,accuracy_xgboost,accuracy_sarima,accuracy_winner,diagnostic_metric,diagnostic_direction,diagnostic_xgboost,diagnostic_sarima,diagnostic_winner,diagnostic_margin,pairwise_reversal_candidate,scientific_preference_adjudication
07044001_10_49,4,lags_only,error_skill_rmse,0.21607841662864735,0.0975619473334069,xgboost_direct,fidelity_std_ratio,closer_to_one,0.36888083441911035,0.6232980064078534,sarima,0.25441717198874303,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,4,lags_only,error_skill_rmse,0.21607841662864735,0.0975619473334069,xgboost_direct,fidelity_variance_retention,closer_to_one,0.1360730700017391,0.3885004047920044,sarima,0.25242733479026536,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,5,lags_only,error_skill_rmse,0.21117501639321667,0.0967419333920614,xgboost_direct,event_csi,higher,0.1836734693877551,0.1368421052631579,xgboost_direct,0.04683136412459721,False,NO_REVERSAL
07044001_10_49,5,lags_only,error_skill_rmse,0.21117501639321667,0.0967419333920614,xgboost_direct,event_recall_pod,higher,0.32142857142857145,0.15476190476190477,xgboost_direct,0.16666666666666669,False,NO_REVERSAL
07044001_10_49,5,lags_only,error_skill_rmse,0.21117501639321667,0.0967419333920614,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.4935720156378876,0.5512889491896883,sarima,0.05771693355180074,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,5,lags_only,error_skill_rmse,0.21117501639321667,0.0967419333920614,xgboost_direct,fidelity_correlation,higher,0.07556362852337083,0.10726841890289404,sarima,0.031704790379523215,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,5,lags_only,error_skill_rmse,0.21117501639321667,0.0967419333920614,xgboost_direct,fidelity_std_ratio,closer_to_one,0.4355268026207376,0.5681455626878135,sarima,0.13261876006707585,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,5,lags_only,error_skill_rmse,0.21117501639321667,0.0967419333920614,xgboost_direct,fidelity_variance_retention,closer_to_one,0.1896835958010429,0.32278938040185207,sarima,0.13310578460080913,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,6,lags_only,error_skill_rmse,0.22325739196302877,0.08803871866559129,xgboost_direct,event_csi,higher,0.18493150684931506,0.10869565217391304,xgboost_direct,0.07623585467540202,False,NO_REVERSAL
07044001_10_49,6,lags_only,error_skill_rmse,0.22325739196302877,0.08803871866559129,xgboost_direct,event_recall_pod,higher,0.3253012048192771,0.12048192771084337,xgboost_direct,0.20481927710843373,False,NO_REVERSAL
07044001_10_49,6,lags_only,error_skill_rmse,0.22325739196302877,0.08803871866559129,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.4466991208028393,0.48653239749883553,sarima,0.039833276695996345,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,6,lags_only,error_skill_rmse,0.22325739196302877,0.08803871866559129,xgboost_direct,fidelity_correlation,higher,0.05658724685757864,0.08542126637516195,sarima,0.028834019517583312,True,REQUIRES_QUALITATIVE_REVIEW
