station_id,model,horizon,condition,n,observed_variance,predicted_variance,variance_retention,observed_sd,predicted_sd,std_ratio,correlation,observed_amplitude_q95_q05,predicted_amplitude_q95_q05,amplitude_ratio,variance_fidelity_directional_degradation,alpha_kge,temporal_variability,alpha_kge_status,temporal_variability_status
38005001_10_46,sarima,4,lags_only,851,2174.6861131755118,29.804463669313154,0.013705179560737708,46.63352992403118,5.459346450749682,0.11706912300319716,0.11246665746294089,70.89999999999999,10.809079576083352,0.15245528316055507,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,sarima,5,lags_only,847,2143.7272942466716,17.235119172169632,0.008039790890578848,46.300402743892754,4.15152010378965,0.08966488103253607,0.10272096271473821,68.24583333333321,8.880118521879464,0.1301195705019278,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,sarima,6,lags_only,846,2057.5093231474925,13.483382989217505,0.006553254868654099,45.359776489170365,3.671972629148739,0.0809521764293839,0.07845015071029302,66.72998903508771,6.434169689331116,0.09642096128545631,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,sarima,7,lags_only,843,2133.8036923390814,12.541638366431654,0.005877597087051375,46.19311304013924,3.5414175645398913,0.0766654882398291,0.042856653320540804,66.50375000000001,5.573361655871073,0.08380522385385895,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,xgboost_direct,1,lags_only,859,2083.0516140967156,1670.3324839550153,0.8018680250893976,45.640460274812256,40.86970129515281,0.8954708398878198,0.24184734708063418,73.13026515151512,78.02191047668455,1.066889478863979,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,xgboost_direct,2,lags_only,855,2157.719187150872,3260.252839154724,1.5109717977062973,46.4512560341577,57.09862379387724,1.2292159280233466,0.10795908919553195,73.60583333333332,61.395323371887194,0.8341094800713784,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,xgboost_direct,3,lags_only,851,2196.5661672195934,4355.313974682042,1.982782963553966,46.867538523156874,65.9948026338593,1.4081132637518778,0.03980456601880814,73.87083333333332,83.86427783966064,1.1352826826960662,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,xgboost_direct,4,lags_only,851,2174.6861131755118,1698.746372515702,0.7811455465796694,46.63352992403118,41.21585098618858,0.8838243867305707,0.060066054991832686,70.89999999999999,75.59007263183594,1.0661505307734267,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,xgboost_direct,5,lags_only,847,2143.7272942466716,696.3343368012343,0.324824122298603,46.300402743892754,26.388147657636644,0.5699334367262576,0.0018372939236709995,68.24583333333321,59.89585685729969,0.8776485527658557,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,xgboost_direct,6,lags_only,846,2057.5093231474925,1557.989441508711,0.7572210847265388,45.359776489170365,39.47137496349362,0.870184511886151,0.040241723416908945,66.72998903508771,92.24723982810974,1.3823955490177684,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38005001_10_46,xgboost_direct,7,lags_only,843,2133.8036923390814,1822.8353888187703,0.8542657393288945,46.19311304013924,42.69467635219607,0.9242649724667134,0.05267637174737301,66.50375000000001,73.99962806701659,1.1127136149016645,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,sarima,1,lags_only,974,1767.5463364922687,871.8751488152238,0.49326862374961983,42.04219709401816,29.527532047484495,0.7023308506321077,0.6302219897240455,72.26124999999993,45.6634461770537,0.6319216201913714,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,sarima,2,lags_only,969,1761.7001306313243,190.93751553970208,0.10838252902398182,41.97261167274827,13.818014167734164,0.3292150194386365,0.3134248158704722,70.85083333333328,26.41346859366877,0.3728039227061849,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,sarima,3,lags_only,966,1766.8483734667564,62.3736432240177,0.035302204852832704,42.03389553047346,7.897698603012,0.18788880981269934,0.09922827383563645,70.53378623188405,15.767523438801128,0.2235456832979935,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,sarima,4,lags_only,965,1683.152730499499,24.403431430627126,0.014498643520831926,41.026244411346,4.93998293829312,0.12041031318301572,0.056743905217459006,69.83561594202888,11.714539015218522,0.16774447904838208,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,sarima,5,lags_only,963,1440.5257996646658,15.385662939786897,0.010680588256988153,37.95425930860284,3.9224562380971055,0.10334693153155615,0.05331804332013109,70.63434782608694,8.797153826267177,0.12454498550658635,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,sarima,6,lags_only,961,1396.6269390282432,14.40859267870424,0.01031670826049623,37.37147226198405,3.7958652081843263,0.10157119798691076,0.048016299517545234,71.80416666666669,7.360109967536067,0.10250254698593718,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,sarima,7,lags_only,959,1485.6136289281442,13.856766923573856,0.00932730196718199,38.54365873821716,3.7224678539342495,0.09657795797790504,0.03505365797235301,71.84673913043471,6.6259693114341705,0.09222366097095935,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,xgboost_direct,1,lags_only,974,1767.5463364922687,2959.4345162333607,1.6743179260049375,42.04219709401816,54.40068488753943,1.2939543755499796,0.0614834417098661,72.26124999999993,105.29274845123243,1.457112192928195,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,xgboost_direct,2,lags_only,969,1761.7001306313243,1923.6096595895076,1.0919052715856705,41.97261167274827,43.85897467553827,1.0449427121070658,0.1482749961450487,70.85083333333328,105.57738571166973,1.490136117594521,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,xgboost_direct,3,lags_only,966,1766.8483734667564,3531.0244582592986,1.9984875393302874,42.03389553047346,59.42242386725148,1.4136787256411152,0.0216247990484695,70.53378623188405,81.94219732284546,1.1617439201896176,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,xgboost_direct,4,lags_only,965,1683.152730499499,4224.806230393387,2.5100551802804114,41.026244411346,64.99850944747415,1.5843153664218532,0.0019081745235564444,69.83561594202888,70.93690643310536,1.0157697541035604,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
