station_id,horizon,condition,error_mae_sarima,error_mae_xgboost_direct,error_rmse_sarima,error_rmse_xgboost_direct,error_bias_sarima,error_bias_xgboost_direct,error_skill_mae_sarima,error_skill_mae_xgboost_direct,error_skill_rmse_sarima,error_skill_rmse_xgboost_direct,fidelity_variance_retention_sarima,fidelity_variance_retention_xgboost_direct,fidelity_std_ratio_sarima,fidelity_std_ratio_xgboost_direct,fidelity_correlation_sarima,fidelity_correlation_xgboost_direct,fidelity_amplitude_ratio_sarima,fidelity_amplitude_ratio_xgboost_direct,event_precision_persistence,event_precision_sarima,event_precision_xgboost_direct,event_recall_pod_persistence,event_recall_pod_sarima,event_recall_pod_xgboost_direct,event_far_persistence,event_far_sarima,event_far_xgboost_direct,event_csi_persistence,event_csi_sarima,event_csi_xgboost_direct,event_event_bias_persistence,event_event_bias_sarima,event_event_bias_xgboost_direct,event_exceedance_intensity_error_persistence,event_exceedance_intensity_error_sarima,event_exceedance_intensity_error_xgboost_direct,persistence_mae,persistence_rmse
01051001_10_49,7,lags_only,7.936801383936245,5.702683253113102,11.833692472559939,9.23980599820001,-6.744826678116327,-1.011329282272182,-0.12030763867996684,0.19504605188111238,-0.005220394031810028,0.21511891171540234,0.27710124442530215,0.1903842708164667,0.526404069537178,0.43633046056454355,0.12576791418906116,0.19377183209593016,0.5229394180577538,0.5395809791607564,0.3281853281853282,0.43333333333333335,0.3987730061349693,0.33073929961089493,0.05058365758754864,0.2529182879377432,0.6718146718146718,0.5666666666666667,0.6012269938650306,0.19721577726218098,0.04744525547445255,0.18309859154929578,1.0077821011673151,0.11673151750972763,0.6342412451361867,-8.26018889593179,-15.722922117508496,-9.730001138663601,7.084483859529868,11.772236758047175
01055001_10_47,1,lags_only,3.33994430022533,4.719053349919902,6.7595874223921815,8.408159605102014,-1.0719289324964836,-0.09209482577585738,-0.0438220739235165,-0.47483059952131124,0.03977003727441764,-0.1944170967376278,0.6485852367110884,0.2910986623589528,0.8053478979367168,0.5395355987874692,0.6286690027215748,0.26114729174173196,0.8651585269611108,0.7317110743473947,0.7061068702290076,0.7277486910994765,0.4291044776119403,0.7142857142857143,0.5366795366795367,0.444015444015444,0.29389312977099236,0.27225130890052357,0.5708955223880597,0.5505952380952381,0.44694533762057875,0.279126213592233,1.0115830115830116,0.7374517374517374,1.0347490347490347,-1.609708593404246,-4.305643980028694,-6.881326488502069,3.1997256847339446,7.039550612652522
01055001_10_47,2,lags_only,4.490367165953564,5.208061801642803,8.47412793580705,9.412547645384873,-1.7920907255932406,0.12902487947034785,0.025331156001924985,-0.13045000287849873,0.09543939330298506,-0.004731091289929982,0.5421852284649757,0.47625548909851645,0.7363322812867678,0.6901126640618301,0.3711682993796785,0.13816973308119201,0.8326367820428698,0.7141138221428073,0.5692307692307692,0.5806451612903226,0.396,0.5692307692307692,0.34615384615384615,0.38076923076923075,0.4307692307692308,0.41935483870967744,0.604,0.3978494623655914,0.27692307692307694,0.24087591240875914,1.0,0.5961538461538461,0.9615384615384616,-3.6846001824262693,-6.933368741235253,-6.908517489700085,4.607069563785536,9.368225714305822
01055001_10_47,3,lags_only,5.1111302390333675,5.133320690352089,9.131066487791642,8.892794452003272,-2.4660452906846575,-0.06323971557390518,0.042438843674328215,0.03828150210203406,0.10424183264552885,0.1276163335754009,0.4468812917201692,0.25556819921069673,0.6684918037793502,0.5055375349177316,0.25131125372849694,0.11775939924931458,0.7538151663972996,0.6808662262368711,0.48249027237354086,0.48412698412698413,0.3795620437956204,0.4940239043824701,0.24302788844621515,0.41434262948207173,0.5175097276264592,0.5158730158730159,0.6204379562043796,0.3229166666666667,0.1930379746835443,0.24703087885985747,1.0239043824701195,0.50199203187251,1.091633466135458,-4.732243690103326,-8.789279760237326,-7.567807398005651,5.337654107279853,10.193673717493752
01055001_10_47,4,lags_only,5.516914082503549,5.377176454501354,9.669629335955566,9.32714229536452,-3.050521883030124,-0.015592483955014912,0.05654173317058466,0.0804385382239592,0.1168361350127365,0.14811677338754206,0.37166323614980357,0.337273617113015,0.6096418917280895,0.5807526298804122,0.13973732664134608,0.08269474117089827,0.6837907587879368,0.6499913691207304,0.40077821011673154,0.3523809523809524,0.348,0.41365461847389556,0.14859437751004015,0.3493975903614458,0.5992217898832685,0.6476190476190476,0.652,0.2555831265508685,0.1167192429022082,0.2111650485436893,1.0321285140562249,0.42168674698795183,1.0040160642570282,-6.112329228153164,-10.459638964002236,-7.735534308978425,5.8475443763333415,10.948850739149089
01055001_10_47,5,lags_only,5.826113875938445,5.289314743227544,10.091601524636687,9.099356375948462,-3.629840826881736,-0.22036796400434167,0.08760764930813254,0.17167250505463383,0.12478146149980712,0.21083632075566539,0.31089427148716803,0.2539198456560316,0.5575789374493696,0.503904599756771,0.061530573459658844,0.09378371313581708,0.6085145695605662,0.5956061482429513,0.3425196850393701,0.3023255813953488,0.3522267206477733,0.3466135458167331,0.10358565737051793,0.3466135458167331,0.65748031496063,0.6976744186046512,0.6477732793522267,0.20813397129186603,0.08360128617363344,0.2116788321167883,1.0119521912350598,0.3426294820717131,0.9840637450199203,-7.26574635019118,-11.807608756803583,-8.294764230197897,6.38553564321369,11.530379077584476
01055001_10_47,6,lags_only,6.000165302533631,5.405553906606546,10.322533831336056,9.159979381755882,-4.095336259809651,0.03643456931623465,0.08856996714440067,0.17889192609064747,0.13199801517350052,0.22975497932518504,0.27671332907010576,0.29333636881273606,0.526035482710155,0.5416053626144558,0.011054837809656699,0.10255785729377562,0.5511185829973363,0.6445106911996853,0.30980392156862746,0.2714285714285714,0.3408239700374532,0.30980392156862746,0.07450980392156863,0.3568627450980392,0.6901960784313725,0.7285714285714285,0.6591760299625468,0.18329466357308585,0.06209150326797386,0.2111368909512761,1.0,0.27450980392156865,1.0470588235294118,-8.122130657963206,-12.60078744347434,-7.756286165222694,6.583242910851343,11.892292888476948
01055001_10_47,7,lags_only,6.088530646800339,5.308603325148719,10.358399277159993,9.036403638187405,-4.499574602125687,-0.027463737053178516,0.08016280884707175,0.19799192041251415,0.13233965047948681,0.24307521564588766,0.24507689494520446,0.2775687945719331,0.4950524163613429,0.5268479805142401,0.002385255159414985,0.10616298822891954,0.5202212812688242,0.6689442034120914,0.2901960784313726,0.2542372881355932,0.3548387096774194,0.2924901185770751,0.05928853754940711,0.34782608695652173,0.7098039215686275,0.7457627118644068,0.6451612903225806,0.17050691244239632,0.050505050505050504,0.21307506053268765,1.007905138339921,0.233201581027668,0.9802371541501976,-8.343419252485289,-13.164667985742616,-7.744987668824603,6.619139457895746,11.93831121000776
01059008_10_49,1,lags_only,5.243451358807767,6.913007079406663,8.690650250797965,10.598468636705954,-1.9198009760196997,-0.5192759526922454,-0.01909806921461628,-0.3435868257376516,-0.011029467392624693,-0.2329761055523303,0.7734089220286411,0.36807100387313163,0.8794367072328976,0.6066885559107997,0.6092540562007462,0.2253210421992094,0.816358463650888,0.6030005030245814,0.6,0.6830601092896175,0.46111111111111114,0.6022727272727273,0.4734848484848485,0.3143939393939394,0.4,0.31693989071038253,0.5388888888888889,0.4297297297297297,0.38819875776397517,0.2299168975069252,1.003787878787879,0.6931818181818182,0.6818181818181818,-3.9093376951331495,-7.066959420777023,-10.315172877664597,5.145188198471138,8.595842684200445
01059008_10_49,2,lags_only,6.973976476500345,7.1011807787289385,10.741276892491717,10.693843141742468,-3.382713836614444,-0.588845638984948,0.027769677523075166,0.010036339850818221,0.05527237798659126,0.05944431908791778,0.5801143352686717,0.3131747770150218,0.7616523716687762,0.5596202078329746,0.3531896169651197,0.1519012121865787,0.7373012473715054,0.556365072014723,0.4372623574144487,0.5338345864661654,0.3626373626373626,0.44061302681992337,0.2720306513409962,0.25287356321839083,0.5627376425855514,0.46616541353383456,0.6373626373626373,0.28117359413202936,0.21981424148606812,0.17506631299734748,1.0076628352490422,0.5095785440613027,0.6973180076628352,-6.757784491592588,-11.3893942336791,-11.079949655536572,7.17317318259827,11.36970767256688
01059008_10_49,3,lags_only,7.565214487646558,6.885846749373369,11.081521763875985,9.95891350498033,-4.647570431205602,-0.9170293884222632,0.040537290052938886,0.12669849701919048,0.08147994783353507,0.1745301821330055,0.47919790412078533,0.29191139643970065,0.6922412181608268,0.540288253101713,0.25054178079573075,0.17731098079979624,0.6715801788769753,0.5324463917890715,0.367816091954023,0.5054945054945055,0.363013698630137,0.3609022556390977,0.17293233082706766,0.19924812030075187,0.632183908045977,0.4945054945054945,0.636986301369863,0.22273781902552203,0.14790996784565916,0.14763231197771587,0.981203007518797,0.34210526315789475,0.5488721804511278,-8.043304389573596,-13.789304674784765,-11.18252620384121,7.884844725298363,12.06453984073465
01059008_10_49,4,lags_only,8.323812278668436,7.180680420499277,12.465427807463143,10.877512124541354,-5.8992239974688125,-1.0214696372840346,0.02143168294971849,0.15582114070838185,0.059387190710949465,0.17920769382540877,0.31928390747064456,0.26675643393587994,0.5650521281002706,0.5164846889655877,0.1541141910148463,0.14817718828408413,0.5920082172060129,0.5407916406184368,0.33587786259541985,0.463768115942029,0.3475609756097561,0.3320754716981132,0.12075471698113208,0.21509433962264152,0.6641221374045801,0.5362318840579711,0.6524390243902439,0.20045558086560364,0.10596026490066225,0.1532258064516129,0.9886792452830189,0.26037735849056604,0.6188679245283019,-9.305212650352107,-16.26672588707984,-11.832456856184942,8.50611258676254,13.252453809219299
01059008_10_49,5,lags_only,8.73390588796619,7.0420604450451,12.840966013679258,10.443645262045564,-6.7839157429590955,-0.7720904972458951,0.0031119158523968374,0.1962191675107041,0.036349946139173625,0.21625683702047444,0.26493875359465846,0.2608448646974682,0.5147220158441432,0.5107297374321064,0.11492490996271564,0.20998353488229743,0.5407994081391995,0.5547395223255037,0.3106060606060606,0.28888888888888886,0.3333333333333333,0.31417624521072796,0.04980842911877394,0.2222222222222222,0.6893939393939394,0.7111111111111111,0.6666666666666666,0.18510158013544017,0.04436860068259386,0.15384615384615385,1.0114942528735633,0.1724137931034483,0.6666666666666666,-10.017235483989607,-17.92839926283429,-11.59479669871337,8.761169911499326,13.325341457962285
01059008_10_49,6,lags_only,9.21718353955441,7.44502276303308,13.312801539615721,11.08603171778322,-7.71884419918457,-0.5830418064599758,-0.04621193254100077,0.15494015939915526,-0.0006601153645643533,0.16671560492800755,0.22383696979210985,0.36212573945734794,0.473114119206043,0.6017688422121471,0.1036425472192797,0.1573488620812814,0.4863028290983536,0.5959730310099464,0.3132075471698113,0.3235294117647059,0.3468208092485549,0.31679389312977096,0.04198473282442748,0.22900763358778625,0.6867924528301886,0.6764705882352942,0.653179190751445,0.18693693693693694,0.03859649122807018,0.16,1.0114503816793894,0.1297709923664122,0.6603053435114504,-10.476132250866733,-19.24978321928536,-11.272009447925342,8.810053922027114,13.304019352030984
01059008_10_49,7,lags_only,9.589088660794703,7.145762877413063,13.600244061889113,10.56499559569391,-8.37954834474712,-0.7251410152727745,-0.07631055379971428,0.19793629280381572,-0.00877007726427847,0.2163632229784758,0.21294328056320935,0.2751692959267553,0.46145777766032864,0.5245658165823954,0.06367490601289076,0.15038193775672512,0.4686512836710524,0.6154452502132917,0.2792452830188679,0.18518518518518517,0.36470588235294116,0.2824427480916031,0.019083969465648856,0.2366412213740458,0.720754716981132,0.8148148148148148,0.6352941176470588,0.16335540838852097,0.017605633802816902,0.16756756756756758,1.0114503816793894,0.10305343511450382,0.648854961832061,-10.994048445193483,-19.98683596582159,-11.45461048476726,8.909221067230279,13.482005829090536
