station_id,model,horizon,condition,raw_p_value,bh_q_value,bh_reject_q_0_05,family,family_size,alpha,primary_inferential_metric
01059008_10_49,xgboost_direct,3,lags_only,0.0008,0.003244484304932736,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,xgboost_direct,4,lags_only,0.0002,0.0009819761129207384,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,xgboost_direct,5,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,xgboost_direct,6,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059008_10_49,xgboost_direct,7,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,sarima,1,lags_only,0.5295,0.6233790679510544,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,sarima,2,lags_only,0.0003,0.0014087227414330216,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,sarima,3,lags_only,0.0058,0.01775734597156398,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,sarima,4,lags_only,0.0566,0.11075084379056685,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,sarima,5,lags_only,0.3176,0.4199377777777778,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,sarima,6,lags_only,0.6734,0.7647199397287795,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,sarima,7,lags_only,0.8018,0.8923799163179916,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,xgboost_direct,1,lags_only,1.0,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,xgboost_direct,2,lags_only,0.0749,0.13858338788870703,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,xgboost_direct,3,lags_only,0.0122,0.03291670644391408,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,xgboost_direct,4,lags_only,0.0083,0.023921351179094965,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,xgboost_direct,5,lags_only,0.0033,0.011012988929889299,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,xgboost_direct,6,lags_only,0.0022,0.00785193370165746,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059009_10_47,xgboost_direct,7,lags_only,0.0003,0.0014087227414330216,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,sarima,1,lags_only,0.5787,0.6709952307692307,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,sarima,2,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,sarima,3,lags_only,0.0003,0.0014087227414330216,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,sarima,4,lags_only,0.0012,0.004618212765957446,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,sarima,5,lags_only,0.0148,0.03846298850574713,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,sarima,6,lags_only,0.0667,0.12630544388609713,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,sarima,7,lags_only,0.123,0.20426221079691517,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,xgboost_direct,1,lags_only,1.0,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,xgboost_direct,2,lags_only,0.0291,0.066426148409894,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,xgboost_direct,3,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,xgboost_direct,4,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,xgboost_direct,5,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,xgboost_direct,6,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
01059012_10_47,xgboost_direct,7,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,sarima,1,lags_only,0.0246,0.05772765957446809,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,sarima,2,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,sarima,3,lags_only,0.0,0.0,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,sarima,4,lags_only,0.0003,0.0014087227414330216,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,sarima,5,lags_only,0.0054,0.016725205479452054,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
